,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_3_Y0,Variable_13_Y1,Variable_21_Y0,Variable_20_Y0,Variable_22_Y0,Variable_12_Y2,Variable_12_Y1,Variable_29_Y0,Variable_9_Y0,Variable_18_Y1,Variable_1_Y0,Variable_1_Y1,Variable_22_Y2,Variable_14_Y0,Variable_19_Y0,Variable_24_Y0,Variable_22_Y1
17423,5,1,1,5,2017Q2,7074,599279.5811,571057.8588,583810.2771,620516.2226,582043.7597,582124.333,609402.838,599748.9078078358,588284.363,601905.5613,620358.9758,615827.3991,620856.4994,583095.64,622030.2624,586580.8177,605317.0106
11419,8,1,0,6,2016Q4,4531,583244.8945,607002.3011,622437.8132,589820.5038,575483.5013,589520.9753,588397.5321,599488.8345,589623.1937,597049.2753,626849.5671,627907.5671,624204.8064,572997.1651,631148.5788,624265.5512,611216.5884
11177,8,1,0,34,2019Q2,4439,619733.6973,571181.8202,597002.7444,587558.0068,626128.169,607728.0008,613904.6461,616189.3559,680730.9004,575115.3271,613453.0154,624630.2901,612632.0033,620942.13,642289.847,606240.8151,572013.2852
26469,7,1,0,4,2016Q3,13324,608653.4506,577444.9182,572173.1821,606880.7875,601253.4123,605418.2012,619388.3041,591928.2407,596741.1625,605334.0515,623181.7057,608516.3613,621535.4494,601831.845,582711.6223,579163.4724,584398.8078
9220,8,1,1,5,2019Q4,3697,588385.0146,570577.6682,608784.6348,607691.3501,612690.0199,615959.7027,598581.461,615957.763,609092.9547,598378.540963387,577788.7473,581043.0466,599111.0743,604082.4212,617207.254,581455.9588,603769.5108
10134,5,1,0,18,2015Q3,4059,613779.6274,586537.3109,591651.924,606460.9822,605795.1044,598552.865253717,594570.022,599748.9078078358,588844.6187,572306.4893,606424.2811,570212.8876,599617.3676039265,624453.6876,620575.9417,581375.443,601663.591
12855,6,1,0,0,2016Q1,5063,603604.9474874921,598854.3324931494,598552.2353592789,598479.9032734132,599258.6072412956,598552.865253717,598627.38952835,599748.9078078358,604836.670615974,598378.540963387,600614.9081356999,600642.5045596543,599617.3676039265,600919.1105765322,584497.3956,598494.1865546126,599621.6050248608
8310,6,1,1,5,2016Q3,3315,598712.1856,573279.0727,575778.0712,606803.9848,600432.2299,598552.865253717,614158.0963,593745.793,627285.9292,598378.540963387,617646.9829,603669.6708,599617.3676039265,591804.6274,592889.4991,592876.8583,592834.2416
23861,5,1,1,5,2019Q4,11918,610722.7608,622305.9869,583348.2656,585535.8218,581535.7698,597598.7756,613590.8781,574649.7879,610336.59,585576.5184,608988.0413,608447.3823,586103.3691,606176.2676,598905.7189,577907.6726,601657.5191
9358,6,1,0,19,2015Q2,3755,581215.4741,603291.7187,622242.0861,593918.1841,584560.1578,598552.865253717,594841.3106,588621.5356,622794.8226,568861.4856,574943.9065,587243.457,599617.3676039265,621029.204,579228.8579,598084.9994,619043.1711
21623,10,0,1,5,2019Q3,9656,605572.9479,622252.1407,569843.1483,623123.7992,589967.8283,598552.865253717,598627.38952835,599748.9078078358,595876.435,598378.540963387,586143.8231,568602.9483,599617.3676039265,579337.285,614968.3536,577222.0514,570831.7138
8929,6,1,1,5,2018Q2,3568,583212.3779,577960.7898,622575.1979,612213.1922,572592.1831,609604.9837,591080.8754,585400.0816,600929.2291,626005.0194,573377.1026,619258.6446,600212.6888,577905.3842,575264.9412,595583.8305,595781.5224
1417,5,1,0,12,2017Q3,560,609794.8206,578267.9499,578953.7606,590521.8745,616758.0678,616230.3658,585345.8596,592286.2216,620942.704,620190.0116,628601.4616,593850.2987,599219.1347,575345.5702,602177.5195,612639.9305,590379.5465
5164,8,1,0,77,2015Q3,2063,580012.9873,574185.4141,592397.8449,616652.4912,601364.2571,598552.865253717,588966.0148,628300.3685,602080.0651,589518.7204,593989.0984,585717.7529,599617.3676039265,581188.0417,572801.2204,595696.792,625900.6826
6347,5,1,0,43,2015Q3,2543,621124.8213,581470.0251,617767.6296,597698.5196,584355.4091,606348.4,606529.178,598267.2425,662527.2461,623608.5912,611095.1375,610766.0868,602820.9697,650942.0719,629202.7193,625102.7084,608704.9668
1590,7,1,0,12,2014Q4,631,628150.0594,598200.295,622568.472,616485.0483,569762.0019,598552.865253717,595539.8052,615339.8313,575839.8031,623535.5247,628432.691,573263.6009,599617.3676039265,627117.1742,611808.5073,616374.0814,570983.9417
3440,6,1,0,4,2017Q3,1360,615081.2735,592240.3952,618781.2585,616818.7454,599404.8779,570415.0446,572166.05,599748.9078078358,596415.9668,602899.5892,624408.1492,590908.6962,593363.2023,604434.5187,593062.225,586551.0386,613920.81
21491,4,1,0,30,2018Q4,9550,599285.7905,575967.0829,568668.765,596980.8744,614668.4503,598552.865253717,611705.8059,617595.5478,617839.2077,613401.7299,594005.1158,595818.9096,599617.3676039265,589317.1751,604948.599,585648.6095,591452.7853
10432,7,1,0,58,2019Q2,4172,627042.9742,577593.1577,570489.9811,596259.4007,600329.5849,615583.5685,615129.688,583612.9775,594450.9231,613965.8186,613205.1642,607818.1798,584389.6765,598912.8864,608834.6684,599401.2808,600412.9919
25147,8,1,0,24,2017Q3,12816,618803.3463,571222.5949,608101.1679,586354.0235,598547.1129,619410.6646,581516.6728,601672.6245,612294.6932,613938.3884,588749.2318,571538.6228,569620.4611,612070.8986,570780.0416,589030.1506,569408.7621
21890,6,1,0,36,2020Q1,9885,573914.5431,580092.3648,621644.1389,600301.0825,597124.8372,598552.865253717,578454.4956,599748.9078078358,595762.4532,621653.8476,577903.7992,608273.8786,599617.3676039265,596321.471,621906.3969,613949.1172,576457.6833
23563,9,0,1,5,2019Q3,11553,602386.045,599494.1831,569424.8894,627305.6088,612040.9102,589609.4177,589174.6559,600831.5971,605136.1786,569856.0799,577909.0598,572774.6445,604129.304,627742.297,582823.7528,579184.6484,592583.6793
4480,8,1,0,3,2018Q2,1798,589990.0624,617235.7468,604962.8731,615422.6797,613448.3355,570260.7304,616661.5497,599748.9078078358,613833.8016,589497.6651,598836.3552,619782.1198,575810.0828,588384.9995,609890.4967,591434.9322,576417.9311
10857,5,1,1,5,2016Q3,4318,602212.8269,586102.3719,606823.8796,607460.091,591708.0949,575449.8156,576299.8076,599748.9078078358,636944.4011,578035.4841,605868.6749,602548.5522,607925.9635,591193.8868,598905.6353,599948.1779,633162.2699
17138,5,1,1,5,2018Q1,6922,619973.418,620174.6283,608074.4702,604147.7669,599345.2841,598552.865253717,627301.5495,599748.9078078358,599686.4314,593516.4043,573033.3867,613704.6882,599617.3676039265,625612.3665,568940.7193,571749.32,624162.7453
12588,8,1,0,21,2017Q4,4972,608298.712,584103.8531,589928.1738,570645.597,610903.676,598877.4949,576732.8041,607357.1677,628757.3344,602728.1713,588986.0937,599998.1483,613122.7091,602010.0522,577432.0654,602409.2547,570669.46
11413,8,1,0,16,2015Q2,4529,601034.6115,579438.2666,600800.0819,613266.327,602218.2297,598552.865253717,609124.3602,609253.6645,570258.1097,599436.8638,570836.8567,627735.2841,599617.3676039265,585127.0116,605747.7892,591251.0547,600338.7753
6327,7,1,0,3,2019Q3,2533,620409.798,622457.8108,620643.227,575431.0885,589114.608,602024.9147,603747.5327,584661.2775,607850.911,587643.7096,586354.1812,628633.8298,606687.8457,624835.1989,591220.6554,589658.3577,627019.2343
7425,6,1,0,4,2018Q1,2953,622024.9376,626542.2197,620853.898,569344.476,587534.2998,595397.3773,626799.3824,594391.7148,615833.1196,602548.1341,620713.0152,572082.9519,575278.2777,621087.3169,616755.2613,620412.1873,586317.958
422,7,1,1,5,2014Q4,182,577759.1713,598854.3324931494,574199.189,619657.0297,605213.067,598552.865253717,598627.38952835,599748.9078078358,604009.8553,598378.540963387,579491.0551,600642.5045596543,599617.3676039265,622651.1627,601434.2145,621459.7941,599621.6050248608
20257,7,1,0,4,2015Q2,8676,609860.1517,576504.7147,581307.5619,597031.5201,576000.5148,598552.865253717,617107.4134,587895.8979,628855.525,598378.540963387,615006.7786,570992.5179,599617.3676039265,597183.1617,616074.9518,603676.875,572912.0472
19472,6,1,0,19,2018Q4,8181,576821.4267,569851.7147,586616.0954,603487.9714,588501.0096,573680.1985,583509.8374,599748.9078078358,583149.5797,605714.1685,595450.0749,583771.6481,572250.7735,573402.2639,615298.5016,598108.9669,615216.3256
4315,6,1,1,5,2019Q1,1732,581147.7258,621424.1013,616643.8659,602781.3561,585967.9217,594801.9065,600468.8816,599748.9078078358,577005.3226,625490.4165,600972.2216,626448.4197,591865.5161,587024.5921,593583.5807,596446.9906,618013.1325
14777,7,1,0,0,2015Q3,5815,584058.6187,584495.6957,600080.9822,617809.3243,624270.874,598552.865253717,623363.1799,599748.9078078358,578552.0055,594977.5236,605558.9958,594467.3526,599617.3676039265,583753.8079,585451.3565,581273.0052,582836.5567
18351,9,0,0,50,2017Q3,7546,730981.6139,588938.4507,606769.8371,602595.0903,601064.529,609856.109,581127.4697,594470.6091,739637.9224,584043.0459,582368.1121,625487.0447,590711.9498,620994.2572,722486.2002,586761.3371,591327.1952
9432,7,1,0,33,2019Q2,3794,609774.6852,609959.426,602014.6855,612053.6678,608777.6973,583400.4479,611816.7284,599748.9078078358,593663.5406,582853.1194,597126.1518,578788.8988,611670.9929,608100.3689,612392.6454,616148.5276,571680.5523
22688,3,1,1,5,2019Q4,10607,652379.0734,603354.7608,572500.4327,608569.6861,590111.7848,624847.1635,605122.6037,586101.0269,601675.0571,607962.9308,593196.5042,607701.2545,580024.6616,578629.2635,623271.2482,574186.4089,600483.1325
24424,8,1,0,8,2018Q3,12551,592310.0411,616776.9009,593893.7959,603855.3595,571715.0864,624400.6441,594468.1111,606106.4897,614055.0245,607754.2804,572246.0758,617099.6511,577208.3257,614458.7422,601216.3794,589615.5919,591978.7847
25709,8,1,0,54,2017Q1,13031,595375.6887,587921.0418,581704.0655,572647.1379,573595.9378,626029.6469,594968.3806,599748.9078078358,609168.9924,605929.214,608136.0371,575456.4518,605989.3264,584893.3827,630965.977,606941.9216,591689.2279
3331,9,0,0,8,2016Q3,1314,604431.8463,580285.2615,601588.2575,614594.1964,612259.612,592871.5187,574006.2714,628829.1505,583565.6604,597549.2857,580029.2099,579643.0738,607616.2201,614704.8833,584739.6878,581283.6524,603406.9206
2229,10,0,1,5,2020Q1,884,602933.3504,576665.6297,605784.5149,611246.08,568327.1468,574176.2372,616491.9758,612438.6392,568735.2256,594314.8171,625239.4417,586705.866,604487.5872,612357.7802,567094.762,592939.4285,617792.6648
20759,11,0,1,5,2019Q3,9033,608725.0976,598012.0422,625903.4416,596148.924,584319.9852,609572.9536,575883.389,620562.7622,590435.9112,598378.540963387,596067.2121,605899.7901,583084.2809,618283.2931,583824.0278,618218.6757,571390.54
24442,9,0,0,47,2014Q4,12556,592771.2084,598854.3324931494,577638.4482,595591.4039,619900.7132,598552.865253717,598627.38952835,617344.5566,615087.6123,598378.540963387,585554.246,600642.5045596543,599617.3676039265,620913.9391,592410.1096,610747.8762,599621.6050248608
20486,9,0,0,6,2019Q2,8853,622708.2909,614056.5893,604459.2392,583988.5713,573862.462,598552.865253717,598876.662,628280.102,572906.4113,598378.540963387,585589.5409,622777.2704,599617.3676039265,580588.1637,622257.7101,577141.3789,591837.9137
27748,10,0,0,12,2014Q4,13837,583680.8758,598854.3324931494,598881.8622,586992.6793,586440.7485,598552.865253717,598627.38952835,580088.9905,599995.5354,598378.540963387,574300.3218,600642.5045596543,599617.3676039265,597109.1814,616207.7629,613270.3609,599621.6050248608
14213,12,0,1,5,2019Q2,5579,601444.95,595231.526,607544.4414,613507.0303,620778.3795,593034.1584,625178.2329,593699.8695,579663.0321,588219.7627,584970.7956,584136.0413,589175.1793,615229.0507,587624.2898,583507.4124,598058.0432
2682,3,1,1,5,2014Q4,1064,608305.9193,598854.3324931494,591945.4198,622381.6116,599950.3165,598552.865253717,598627.38952835,599748.9078078358,594103.2371,598378.540963387,618372.0682,600642.5045596543,599617.3676039265,614692.2531,629951.3975,624327.7779,599621.6050248608
22571,7,1,1,5,2019Q1,10480,616473.2703,620175.3821,570609.865,583325.4483,581625.7126,577891.9279,605259.0631,610749.3304,590046.1423,582025.9007,606273.3075,600236.917,623201.8729,594496.8495,608326.3643,607640.6908,612223.511
6491,11,0,0,2,2019Q2,2592,592683.5766,589481.7878,625917.5811,577466.4607,592946.1805,583788.0221,616497.8928,569169.9848,583813.2398,587802.2966,571810.8212,587665.1303,610483.223,597986.7884,594326.6492,618635.8936,588985.7499
6335,7,1,0,8,2017Q1,2537,620040.2179,585060.6296,617452.444,596616.2557,613646.8561,580932.8811,587277.3403,585793.7148,610838.384,598378.540963387,618151.2652,581149.6118,627601.4693,582216.9269,592237.402,589633.6157,570187.5545
24568,6,1,1,5,2018Q2,12601,575517.882,602765.8508,589801.3289,616492.5059,579805.5722,580224.6397,608680.937,574721.8188,613025.8735,587931.3816,602927.4429,607847.6408,627869.941,615005.25,599539.9346,616961.0128,592706.7654
22230,8,1,1,5,2019Q4,10168,577033.6269,573595.8738,586185.3114,598122.6479,572856.3723,576894.8534,596521.564,579832.9638,574494.5084,601895.5231,588025.1935,601788.3147,625536.2961,571698.9267,612622.3324,601736.4922,581902.0954
19491,5,1,0,80,2018Q4,8195,591447.3597,613351.3787,602107.4475,578953.6283,599514.2398,607458.7198,621941.918,599748.9078078358,623610.8828,618775.8696,608648.8854,591631.9264,626533.2192,590979.5771,622531.4161,575009.2423,585418.3452
8936,8,1,0,0,2015Q3,3574,631108.2438,577843.6268,622901.6335,609761.6983,599997.7478,616261.1305,627524.2181,627403.3918,593034.776,598267.6998,599875.7023,601610.183,618384.2353,594012.4625,635551.8914,578359.6992,603753.369
16934,8,1,0,28,2018Q1,6817,612775.7945,613307.3875,597994.5569,626345.6974,580595.787,569948.8297,607620.3642,581288.0782,602275.1178,602874.7097,571843.3945,625665.9456,593075.6704,594107.9378,573514.5425,610000.4495,601228.634
3486,7,1,0,8,2015Q3,1377,588331.2747,619264.6846,568801.4796,615103.6532,603686.523,598552.865253717,583926.7501,590336.0839,595037.004,598378.540963387,627221.8946,598049.7325,599617.3676039265,570275.8023,621091.0925,591834.2784,621144.3076
8360,6,1,0,2,2020Q1,3342,615854.5816,627151.4012,593274.9242,606598.9743,603996.059,574103.3944,621659.2946,624561.4404,589945.2531,606248.8159,627152.0391,623092.4645,609931.0481,598470.598,613749.1124,579755.7084,583697.8905
15986,6,1,1,5,2019Q4,6359,607823.3303,582647.9952,571618.7311,587630.2105,597461.3702,577723.9505,602853.1644,623876.2846,596894.624,612251.1474,589917.877,607863.2879,591449.3974,575601.1548,583340.447,619937.4057,628631.6384
27930,9,0,0,12,2018Q3,13906,596903.274,626536.3811,581619.651,624708.2268,616295.2285,593112.5097,605677.0267,591615.4423,623612.8278,584726.666,570797.4916,625440.832,609733.5296,580308.5604,605632.4987,570718.6764,600518.3435
6477,5,1,0,4,2016Q4,2588,575791.9682,569321.2105,600976.9575,608483.1778,614658.0504,596288.9168,583322.2094,618853.4416,603580.8568,619053.2028,592237.5484,613887.9756,602188.3429,571479.8635,599185.7813,570029.2332,600724.1588
2966,8,1,0,4,2015Q3,1179,635577.8213,587241.9786,621269.6837,571195.2594,606766.5026,598552.865253717,571210.3746,614055.3284,583820.7753,625674.517,584851.6646,635031.2972,599617.3676039265,591754.7493,601703.4462,619533.6629,573760.0049
11070,3,1,1,5,2015Q1,4406,621241.4719,598854.3324931494,621652.3355,622275.1636,587938.4372,598552.865253717,598627.38952835,599748.9078078358,577023.5719,598378.540963387,579450.1207,600642.5045596543,599617.3676039265,582452.8729,608233.3528,573725.6871,599621.6050248608
6612,5,1,0,4,2016Q4,2643,606378.3815,600381.0142,607113.3359,576035.515,602175.1177,599283.42,581529.9084,583717.4579,600893.4285,610915.1116,611031.8777,570158.6265,607233.7356,612876.4739,600156.1903,609620.7731,582154.2642
18373,10,0,1,5,2020Q1,7561,597291.8852,603401.9425,618771.4696,601683.1776,596068.6208,619054.1572,584174.8942,621625.9841,624137.256,591723.4137,604696.4951,573016.7113,616109.2569,618873.3778,608082.9173,572052.5172,611904.5395
19332,7,1,0,12,2019Q2,8094,579726.0404,579707.5293,590984.3354,589386.7637,576593.4287,585997.6573,617277.0846,599751.0228,600413.4668,575862.9733,581567.8182,604068.8727,569634.0033,622923.8487,613965.7714,604751.8439,594775.5647
19324,6,1,0,12,2019Q4,8088,581726.604,600132.9385,597859.9264,570164.3648,569925.4065,598552.865253717,621755.3769,602309.48,627673.727,609551.0122,619342.6485,608121.8409,599617.3676039265,574951.0628,599226.5872,570150.7306,598116.1297
17360,9,0,0,16,2019Q3,7039,598926.0541,625647.4866,599123.3924,579824.8532,597966.3176,597440.907,612882.8693,594036.5647,600015.3958,607335.2756,622709.7838,588644.2452,576253.1614,612584.4382,579951.2859,606932.1217,577559.4301
3149,6,1,0,19,2015Q4,1245,628511.9768,615031.2666,622164.2894,622100.2699,577005.6348,597454.1098,620381.7815,617848.9099,621474.8634,569857.4688,583857.5777,579180.8158,589878.4958,571134.4918,578368.8508,620393.407,583857.1676
23464,8,1,0,8,2019Q3,11433,613324.61,581123.7413,619951.4084,595778.3916,615840.1586,622634.5001,620225.2727,599715.431,615915.5638,568609.2644,595155.781,579639.9235,614009.8346,571071.9199,599032.1831,586789.7585,577922.2318
2215,7,1,1,5,2019Q3,876,582386.9821,610628.8363,579113.5194,588666.7688,621423.0044,612766.4548,619839.451,599748.9078078358,594366.2307,583181.6023,608748.3323,626815.8674,622990.4022,618353.5891,609228.2096,582268.1144,599452.26
21432,6,1,0,45,2019Q4,9498,575870.5025,621490.4765,625458.2176,578804.3116,619262.6072,604035.8906,584018.9453,596427.6337,613674.6694,598378.540963387,581673.5389,618005.708,613877.2208,615383.1413,614246.3906,572830.8305,591121.5079
19579,6,1,1,5,2020Q1,8250,614785.8039,621573.8415,568604.5586,619169.4979,606691.527,597260.4892,627829.9805,594684.4523,573684.1192,623841.6586,570793.8032,588069.7071,578091.0153,620316.3205,574504.1579,614813.2188,586750.6922
11280,6,1,1,5,2020Q1,4475,568785.2104,616046.5772,625598.3397,586035.2237,594984.7022,613119.0353,604374.9979,599748.9078078358,591338.7441,615970.2144,576504.0141,620673.9754,605736.0034,607009.8795,623588.1413,586138.4127,590314.4469
22543,6,1,0,26,2019Q3,10456,629867.768,598854.3324931494,595414.2524,596352.5102,628773.367,598552.865253717,598627.38952835,599561.022,578115.2307,598378.540963387,602024.1342,600642.5045596543,599617.3676039265,621425.8245,596576.858,588300.4669,599621.6050248608
12585,8,1,0,21,2020Q1,4972,624038.0811,575735.377,605323.3873,577479.843,608852.6686,623180.764,612008.8584,602673.6994,587142.5772,625823.0235,590595.0494,598590.0402,624864.7214,610921.0052,573191.5569,609284.6564,574986.2593
18516,7,1,0,2,2018Q4,7634,594339.6638,585629.0214,598012.0085,588337.993,582179.4502,616793.6016,583905.808,606079.1462,622938.7076,595680.3365,609155.2962,611654.3345,599008.306,603588.3857,614958.9814,622815.5423,572455.2086
19281,9,0,0,25,2017Q1,8066,602914.397,593100.9882,581199.748,614416.1284,605598.8435,593140.3968,587199.395,625187.228,576018.6112,599272.572,601163.5694,579504.7792,583934.8079,585734.2614,573485.7869,603375.502,625654.0695
11502,5,1,0,0,2017Q1,4573,591410.3186,608897.7338,618510.6043,596566.6542,585358.0995,603761.4045,626594.7865,611643.1683,597393.5857,578601.4478,576073.1852,599902.7073,581056.8891,601808.9546,574849.7248,594180.5979,571466.8627
25786,7,1,1,5,2019Q1,13058,585247.0019,591750.4121,620311.8411,608649.0786,607196.7346,576612.4054,573342.7069,602324.8933,625317.2918,609073.9055,593876.6642,615044.8465,604217.4825,570539.8947,615123.3846,587861.9685,582612.4597
17193,7,1,0,16,2016Q1,6949,587887.6362,620861.8941,595245.7809,571254.855,596649.7034,598552.865253717,600377.2981,571973.7801,605703.2604,598378.540963387,595365.2731,598945.8822,599617.3676039265,609306.4964,586208.4816,619479.5257,616207.3963
7507,7,1,1,5,2018Q2,2984,620652.2907,582851.5961,573425.1284,573639.674,586896.4644,588442.7987,609600.3485,577093.3887,604173.0417,617467.8988,575514.1258,595258.1264,586911.4947,585181.103,603690.0969,569601.0516,614095.3261
24510,7,1,1,5,2017Q3,12579,621699.3421,588696.1654,621043.4369,610060.755,596918.8411,613459.3296,628370.8661,613643.0679,612143.599,578746.1042,588484.1531,599651.5735,576678.8092,614850.4262,605244.6633,593529.0183,619549.7068
6578,7,1,0,8,2017Q4,2630,576981.3502,580903.9166,599295.0959,576917.3194,593345.3061,624768.9902,599355.9773,588624.8111,626238.2962,587258.3571,599138.3009,610378.5078,625410.6163,626794.1644,584154.8555,622349.9222,601289.6198
2234,8,1,1,5,2020Q1,886,588845.2714,571426.3557,593158.1791,615604.6907,608962.4364,606738.9948,590469.9316,624465.4879,606886.8151,589123.9591,602555.5155,580999.3523,593549.3666,624739.3233,583970.9697,584699.8317,616604.1235
18356,7,1,0,0,2018Q2,7549,574235.5109,588801.147,596338.7001,619617.9948,617858.4359,597510.0327,607747.0274,606318.0663,575607.3432,601864.7722,598086.1298,617537.1687,571117.2276,570218.7479,616547.342,582356.7854,575007.2592
24378,7,1,1,5,2016Q2,12534,600805.9054,608038.6376,602183.0297,607848.4088,607469.3037,626954.7984,625805.0142,604529.3169,623268.6561,568859.2181,616722.8619,617547.8428,604980.7323,591957.6524,597481.2029,626009.4784,599112.5421
8725,8,1,0,18,2019Q4,3490,614086.8612,588537.9886,615235.8332,594249.3493,620224.3546,587294.9529,602919.0848,573723.4063,618763.4405,587013.3493,615303.5858,593512.8181,592239.105,588886.564,577984.1759,604766.6183,573235.4015
3073,8,1,0,11,2019Q2,1221,616046.6331,616185.5745,602407.5127,607699.5333,575651.52,587532.201,586626.8377,614611.9925,600136.1102,599961.959,573057.0284,587492.4642,597384.7989,615334.278,598589.5949,601001.8482,600918.2079
18387,6,1,0,18,2018Q4,7567,572328.2035,583043.3051,607859.3934,607744.3602,609385.5087,599791.4073,608487.2164,574899.0674,617148.586,581114.4069,627363.7994,588686.4323,584785.3073,575444.7723,581036.8617,608280.6023,581456.9583
