,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_14_Y0,Variable_22_Y0,Variable_1_Y1,Variable_13_Y1,Variable_19_Y0,Variable_9_Y0,Variable_3_Y0,Variable_30_Y1
7330,9,0,0,19,2017Q1,2916,586275.6978,604989.8671,626970.9015,579603.5362,610376.461,607161.7031,599161.2513,626925.6358
11177,8,1,0,34,2019Q2,4439,620942.13,626128.169,624630.2901,571181.8202,642289.847,680730.9004,619733.6973,589668.7341
26469,7,1,0,4,2016Q3,13324,601831.845,601253.4123,608516.3613,577444.9182,582711.6223,596741.1625,608653.4506,573289.6619
23861,5,1,1,5,2019Q4,11918,606176.2676,581535.7698,608447.3823,622305.9869,598905.7189,610336.59,610722.7608,577676.3005
8929,6,1,1,5,2018Q2,3568,577905.3842,572592.1831,619258.6446,577960.7898,575264.9412,600929.2291,583212.3779,622903.2606
1417,5,1,0,12,2017Q3,560,575345.5702,616758.0678,593850.2987,578267.9499,602177.5195,620942.704,609794.8206,622593.9243
6347,5,1,0,43,2015Q3,2543,650942.0719,584355.4091,610766.0868,581470.0251,629202.7193,662527.2461,621124.8213,615617.1259
10432,7,1,0,58,2019Q2,4172,598912.8864,600329.5849,607818.1798,577593.1577,608834.6684,594450.9231,627042.9742,622621.8124
25147,8,1,0,24,2017Q3,12816,612070.8986,598547.1129,571538.6228,571222.5949,570780.0416,612294.6932,618803.3463,571526.6903
12588,8,1,0,21,2017Q4,4972,602010.0522,610903.676,599998.1483,584103.8531,577432.0654,628757.3344,608298.712,574097.4274
7425,6,1,0,4,2018Q1,2953,621087.3169,587534.2998,572082.9519,626542.2197,616755.2613,615833.1196,622024.9376,608372.2266
18351,9,0,0,50,2017Q3,7546,620994.2572,601064.529,625487.0447,588938.4507,722486.2002,739637.9224,730981.6139,613129.0639
22688,3,1,1,5,2019Q4,10607,578629.2635,590111.7848,607701.2545,603354.7608,623271.2482,601675.0571,652379.0734,587634.7045
24424,8,1,0,8,2018Q3,12551,614458.7422,571715.0864,617099.6511,616776.9009,601216.3794,614055.0245,592310.0411,622200.5409
3331,9,0,0,8,2016Q3,1314,614704.8833,612259.612,579643.0738,580285.2615,584739.6878,583565.6604,604431.8463,614812.5089
2229,10,0,1,5,2020Q1,884,612357.7802,568327.1468,586705.866,576665.6297,567094.762,568735.2256,602933.3504,586354.2622
14213,12,0,1,5,2019Q2,5579,615229.0507,620778.3795,584136.0413,595231.526,587624.2898,579663.0321,601444.95,605727.6782
6491,11,0,0,2,2019Q2,2592,597986.7884,592946.1805,587665.1303,589481.7878,594326.6492,583813.2398,592683.5766,615575.9273
8936,8,1,0,0,2015Q3,3574,594012.4625,599997.7478,601610.183,577843.6268,635551.8914,593034.776,631108.2438,608965.109
16934,8,1,0,28,2018Q1,6817,594107.9378,580595.787,625665.9456,613307.3875,573514.5425,602275.1178,612775.7945,599096.3219
8360,6,1,0,2,2020Q1,3342,598470.598,603996.059,623092.4645,627151.4012,613749.1124,589945.2531,615854.5816,614845.4725
27930,9,0,0,12,2018Q3,13906,580308.5604,616295.2285,625440.832,626536.3811,605632.4987,623612.8278,596903.274,603932.3185
6477,5,1,0,4,2016Q4,2588,571479.8635,614658.0504,613887.9756,569321.2105,599185.7813,603580.8568,575791.9682,620763.6974
6612,5,1,0,4,2016Q4,2643,612876.4739,602175.1177,570158.6265,600381.0142,600156.1903,600893.4285,606378.3815,595873.8576
19332,7,1,0,12,2019Q2,8094,622923.8487,576593.4287,604068.8727,579707.5293,613965.7714,600413.4668,579726.0404,587709.0318
17360,9,0,0,16,2019Q3,7039,612584.4382,597966.3176,588644.2452,625647.4866,579951.2859,600015.3958,598926.0541,572499.7239
23464,8,1,0,8,2019Q3,11433,571071.9199,615840.1586,579639.9235,581123.7413,599032.1831,615915.5638,613324.61,617696.2594
12585,8,1,0,21,2020Q1,4972,610921.0052,608852.6686,598590.0402,575735.377,573191.5569,587142.5772,624038.0811,585739.0878
18516,7,1,0,2,2018Q4,7634,603588.3857,582179.4502,611654.3345,585629.0214,614958.9814,622938.7076,594339.6638,594485.6063
19281,9,0,0,25,2017Q1,8066,585734.2614,605598.8435,579504.7792,593100.9882,573485.7869,576018.6112,602914.397,601146.1454
25786,7,1,1,5,2019Q1,13058,570539.8947,607196.7346,615044.8465,591750.4121,615123.3846,625317.2918,585247.0019,597838.0458
7507,7,1,1,5,2018Q2,2984,585181.103,586896.4644,595258.1264,582851.5961,603690.0969,604173.0417,620652.2907,596501.4007
24510,7,1,1,5,2017Q3,12579,614850.4262,596918.8411,599651.5735,588696.1654,605244.6633,612143.599,621699.3421,589709.3412
2234,8,1,1,5,2020Q1,886,624739.3233,608962.4364,580999.3523,571426.3557,583970.9697,606886.8151,588845.2714,594688.4609
18356,7,1,0,0,2018Q2,7549,570218.7479,617858.4359,617537.1687,588801.147,616547.342,575607.3432,574235.5109,614651.8836
24378,7,1,1,5,2016Q2,12534,591957.6524,607469.3037,617547.8428,608038.6376,597481.2029,623268.6561,600805.9054,612273.1669
3073,8,1,0,11,2019Q2,1221,615334.278,575651.52,587492.4642,616185.5745,598589.5949,600136.1102,616046.6331,622684.8159
22529,7,1,1,5,2019Q1,10443,569678.0842,586324.3037,617262.1338,623538.0949,599362.2108,580709.4999,598378.9182,575699.3737
5045,9,0,0,11,2019Q1,2017,597619.71,616352.1063,579857.7089,627017.0649,631075.7056,661965.2196,663084.3184,629350.8718
20814,7,1,1,5,2019Q4,9065,572304.1609,613827.0678,578483.1468,584083.9944,576188.6796,573196.9237,608323.8065,568767.5251
25525,4,1,0,12,2016Q4,12960,609722.3659,591723.2267,571004.7896,628643.5071,589393.0473,570854.8572,588817.7189,603391.8243
24784,8,1,0,80,2016Q4,12671,593778.0562,575330.7334,600368.476,607256.1493,616930.4287,593000.563,587672.9912,627618.7289
7834,8,1,1,5,2019Q2,3123,583255.8753,589753.3401,599763.056,615595.1608,584939.5203,624186.6986,626064.6298,569406.3816
23514,8,1,1,5,2019Q3,11498,586865.1311,599837.1834,585145.5931,586386.2345,617546.7987,594231.073,589899.0049,585039.7541
14375,4,1,1,5,2019Q4,5647,627982.4893,625882.905,593837.4377,612431.9346,580047.0268,616025.2372,576484.3471,591320.8865
11721,8,1,1,5,2016Q4,4661,577507.6681,587638.855,593328.8464,623980.8673,623302.3164,616949.3906,600281.013,583857.4461
3958,8,1,0,12,2019Q3,1580,585250.2297,612938.7537,569803.7033,573222.1401,629238.2186,605562.6977,626400.7778,573670.3811
12882,4,1,0,30,2017Q4,5071,613267.5209,603987.4075,586421.4331,617506.0973,578587.6398,594857.9878,593119.2363,583927.092
2914,6,1,1,5,2019Q4,1159,612206.3286,598177.1121,606357.9569,572433.4613,611318.5933,587036.8972,633691.7684,588037.4684
8112,7,1,1,5,2017Q1,3234,594923.0774,602494.6988,597281.6048,571193.4907,625643.6192,610534.435,584907.0495,574211.8161
27756,6,1,0,12,2017Q3,13842,620997.7626,606304.9213,570263.1164,605703.5074,595012.5388,613810.6342,588854.8481,627259.9608
16029,4,1,0,30,2017Q4,6378,612652.4139,609283.5488,578191.6222,568618.4172,572434.8913,615724.0765,602722.8352,619221.2093
1931,5,1,0,12,2018Q1,759,601710.6702,617670.4897,600420.2831,573117.4068,612364.3847,602523.6323,616164.5052,593663.6255
2988,12,0,0,4,2020Q1,1190,603480.1947,606857.2481,597586.821,609275.2011,618868.3566,606884.7943,595317.9276,572511.9248
13943,8,1,0,21,2019Q1,5482,597791.1419,589356.1446,610006.2144,581701.1274,594582.5927,592441.9374,609177.7688,583069.9759
23983,7,1,1,5,2020Q1,12080,626714.3824,620809.0606,621875.4679,597025.0008,587093.3958,614880.9055,611787.5338,594583.0905
26040,4,1,1,5,2017Q3,13143,621972.9948,618157.7165,582645.2647,599909.9959,605761.9161,585650.1768,581727.845,593039.9761
8894,12,0,1,5,2019Q3,3554,595877.2745,590230.5744,606063.2545,600042.8019,580185.8645,578177.6451,578903.1068,595502.3811
8896,9,0,1,5,2016Q4,3554,593330.5224,619888.9304,584619.6382,628269.4848,574404.6011,588714.7282,576397.3911,615890.7361
12473,8,1,0,19,2018Q2,4925,609772.3012,609128.824,604145.316,604545.9154,614664.1348,589496.1815,627299.688,592031.2101
25572,8,1,0,8,2017Q4,12982,569393.6996,614035.9783,594682.9032,594009.0869,570507.6554,577770.6429,612812.43,577199.6968
7488,7,1,0,33,2015Q2,2975,573602.0873,627222.4594,624235.0512,597386.489,616814.4225,616744.4322,609944.3622,598068.2297
9044,8,1,1,5,2017Q1,3628,590196.4241,596648.6008,618972.8037,590403.2868,600910.1409,622874.8718,590446.6427,606835.9978
16493,8,1,0,25,2016Q2,6602,617605.9545,614097.1843,632663.3185,594798.0526,650205.2851,658804.3259,600346.752,572810.4298
20958,5,1,0,18,2019Q3,9152,622184.1083,574740.1725,589984.0767,602903.3929,633442.2305,631225.7132,598905.4533,619029.3434
15594,7,1,0,11,2018Q2,6186,623430.4308,617676.3973,603204.6227,600926.525,607443.307,586289.4767,596732.1748,579487.4961
24619,8,1,0,12,2019Q4,12621,590978.1666,605299.3071,606265.0459,628162.8652,577545.4954,615587.5866,595182.2334,613144.6609
775,6,1,1,5,2018Q4,315,605251.7983,575557.213,622752.1448,592355.1245,613997.279,607615.9524,583433.5348,588838.8667
24638,6,1,0,16,2019Q1,12628,611614.683,585178.7676,572026.4185,616789.5595,592541.9208,628778.3916,612492.8417,570396.9645
9768,8,1,0,19,2017Q3,3923,619239.2356,575712.9095,595638.0874,622592.4349,609492.4102,583707.6005,631443.9561,590020.2444
6007,9,0,0,28,2019Q2,2397,575493.5051,599178.7252,600131.5305,603175.2844,591454.9602,578039.7967,598922.8679,583827.3983
10730,7,1,0,19,2015Q3,4277,675755.3141,628559.6472,676172.526,578460.4981,767321.487,822643.4957,866372.7956,575430.5087
15330,7,1,1,5,2016Q4,6048,613408.686,613800.7498,598524.799,617198.7721,606062.6916,590116.3666,571855.462,622177.5757
17974,8,1,0,58,2016Q3,7348,571358.9908,604313.5771,605530.7119,597062.1682,612887.97,610601.4985,583173.9823,580682.7287
7415,10,0,0,4,2016Q1,2947,599202.1392,605838.3345,626682.8863,569526.7225,580726.965,576712.8662,584224.699,623637.9281
10675,8,1,0,19,2016Q2,4256,587299.5254,590742.3008,576609.0577,609476.1158,603269.6043,578926.4528,587624.1289,621004.6875
8619,7,1,0,35,2019Q1,3444,618734.2198,615597.4136,608746.7817,574469.9588,579191.3747,584366.4917,617466.9565,593721.3922
24362,3,1,0,77,2018Q2,12531,576200.9468,601791.4314,617818.3585,589944.1204,626605.0197,597871.8399,615969.5793,604123.0238
16005,8,1,1,5,2018Q2,6367,626048.11,612580.1846,607208.7289,571765.9218,589100.5632,578309.6068,578588.4497,590896.2067
395,5,1,1,5,2015Q4,168,594389.5739,620290.1468,586447.7527,628181.3395,600230.4334,624455.6362,603023.5062,586404.9195
2661,7,1,0,4,2019Q1,1055,574417.9093,597978.3297,600270.7243,619343.3467,600161.3251,583707.916,577726.012,606964.7817
8567,7,1,0,12,2019Q4,3423,597484.823,603710.275,582715.634,613070.4937,618716.1454,578515.1331,610929.8088,624711.8229
26131,5,1,0,12,2019Q3,13192,582395.2203,608529.69,604571.1194,595773.5492,597605.2472,627288.8524,613368.5873,616903.412
26467,8,1,0,4,2019Q4,13324,582763.7801,626299.1877,582335.5504,587574.146,603588.9642,617887.9821,603853.2156,615601.038
863,8,1,1,5,2017Q4,348,620753.1512,577239.7979,595154.5207,595818.6542,573893.1279,582126.9865,592466.763,602879.3581
19447,10,0,0,21,2019Q2,8168,599189.9434,608937.2965,572761.6042,599717.1903,586741.1987,623383.5993,612500.2725,599649.8191
3640,14,0,1,5,2016Q2,1443,582221.1784,586996.7495,612325.2639,616956.2192,582671.5716,613827.8561,586422.3382,582751.9297
7049,4,1,1,5,2017Q3,2802,576430.9865,593997.7042,629690.9606,578533.6781,588038.9253,617836.4798,612607.5682,608025.9396
20290,5,1,0,3,2019Q2,8700,601505.5046,604661.7194,618861.1127,575653.2596,635813.925,617012.8024,570285.7277,601264.8098
20229,7,1,0,4,2020Q1,8656,573153.2545,621832.2087,579850.2159,576511.499,611441.7099,570678.7809,583817.2722,619281.9946
7711,5,1,1,5,2019Q2,3082,625168.7383,578963.6355,626398.2533,607844.9536,620108.4788,585509.7844,578437.4877,625489.4391
11119,7,1,1,5,2017Q1,4422,597991.9055,621872.2634,607483.9017,622949.3997,614333.4763,584192.5826,600709.7342,616464.3069
16749,8,1,0,4,2017Q2,6722,621199.0057,599429.0972,594596.7068,571489.592,628827.0726,581294.0469,572233.9069,626033.9489
5787,5,1,0,12,2020Q1,2306,620592.7941,625653.6062,582577.0201,597138.8323,596548.2924,604145.3611,609332.4427,613661.7294
26633,11,0,0,0,2017Q3,13378,595443.7534,605727.2038,585518.1748,609251.7602,624756.7983,571552.7148,621119.9713,569163.2323
2074,7,1,0,10,2017Q3,813,614019.1837,599391.3608,620835.8781,616916.6676,585527.2789,569359.7973,607298.6736,596452.9515
11446,7,1,1,5,2018Q2,4550,570541.7579,571662.7412,577177.8961,583292.4688,599481.1157,606224.8625,605478.108,617253.1368
12867,9,0,0,12,2017Q2,5068,624276.798,574135.3728,582935.464,597221.146,585048.9812,619782.0902,573453.6585,577229.0217
19156,8,1,1,5,2020Q1,7989,571044.7423,597606.6657,597440.8701,586681.8674,609144.1344,615917.3082,595996.8594,601479.8156
10636,10,0,0,16,2017Q4,4242,599797.3852,591383.8775,570568.558,625292.8167,607661.7401,596697.1343,624388.2421,602238.1939
12053,10,0,1,5,2016Q4,4792,607162.3422,601983.1179,587770.2775,619960.9586,576570.8586,596469.1389,621473.6664,614288.2918
25803,17,0,0,33,2018Q4,13064,621795.9181,620607.4119,638913.1374,607707.4142,653809.9428,624085.254,722138.7323,572742.6695
17005,5,1,0,62,2018Q2,6851,603312.8146,597578.6358,577916.0254,611430.4605,595135.8277,588498.3327,597295.4075,594672.2049
18838,10,0,1,5,2020Q1,7818,627566.7347,612374.1231,623287.4963,607799.7745,598391.9401,603296.4518,593589.7194,623951.9663
18262,5,1,0,8,2019Q3,7496,596334.3059,600851.6092,598822.8632,592151.0095,594735.7597,617682.0984,611020.3936,580183.1203
487,9,0,0,4,2017Q4,209,571025.8772,573231.3492,575943.3594,610495.8681,616389.7361,607277.1796,616043.2153,570755.0503
8930,8,1,1,5,2016Q1,3568,575031.6031,595803.693,571386.6895,592407.6149,570063.6553,582154.1573,578158.7834,606083.4979
19643,8,1,0,6,2020Q1,8290,591749.7303,590917.3382,622422.8833,621912.1487,576182.669,625524.1922,607536.242,607514.5453
23876,8,1,1,5,2019Q4,11935,568982.5382,593247.1666,624631.8624,578008.6314,584757.6999,608701.6318,589566.0994,593707.1669
10240,6,1,0,24,2018Q1,4103,581188.1791,626800.4047,572548.8361,611481.6685,609726.512,629356.0963,569121.5419,600204.3054
1632,6,1,0,12,2020Q1,648,624885.4129,574320.3504,569284.9261,570056.2407,624437.9664,584148.9195,596491.2453,606103.9336
20010,8,1,1,5,2018Q4,8515,591235.8033,577501.3733,575328.4885,574053.8177,579961.3925,627084.6461,574709.7946,575239.9235
2557,5,1,1,5,2016Q2,1014,599631.7741,584164.0377,579346.1278,609344.7333,621394.2042,603097.0733,586464.5999,583419.3965
4086,7,1,0,51,2019Q2,1632,619926.7248,617912.4135,618125.2779,602760.0689,572388.923,594091.9473,627261.811,585389.8702
5046,9,0,0,11,2017Q4,2017,619001.0392,569867.0461,621159.3415,609229.1995,657057.0834,607948.4198,705927.8324,623907.9289
23629,6,1,0,23,2016Q4,11632,624764.227,624243.0435,571423.9735,584963.4108,578988.2795,616154.375,610535.6444,613288.2254
25604,8,1,0,51,2015Q3,12990,616780.4485,572402.7304,604558.6224,609793.0156,573006.2378,593170.756,611743.4376,609765.9799
5726,6,1,0,2,2018Q1,2283,601381.2658,606360.374,620262.6002,573025.9698,609099.33,591626.0287,624819.4765,574149.8843
11711,8,1,0,44,2019Q2,4658,625326.1913,594327.9247,594203.6931,576859.6533,588057.1541,581326.993,629878.0024,579999.691
26396,7,1,0,12,2016Q3,13298,628259.2592,610190.6043,587927.9304,571337.8498,608941.1544,623471.64,600606.6799,621759.3507
21530,6,1,0,8,2020Q1,9583,573344.164,598156.9045,616608.5728,618675.4385,615252.3941,589711.275,615865.5245,602691.8369
9040,7,1,0,20,2017Q1,3627,594473.2807,608643.9884,612169.0937,625027.1551,619809.1139,622455.912,571135.7919,618215.8992
9792,7,1,0,15,2019Q2,3929,590339.1702,584610.3775,591676.1005,593108.3214,597253.34,610091.5399,621863.974,591242.1512
22998,6,1,1,5,2020Q1,10929,591815.0615,578913.5541,583419.8918,573145.9353,600471.0565,583722.3565,581861.5783,614391.0211
9692,11,0,0,0,2016Q2,3895,604468.5232,611665.1107,611422.4463,580818.7268,630167.7359,632689.334,608392.5767,635350.3936
18325,8,1,0,8,2019Q4,7528,609055.1432,622309.2152,582346.1765,601600.9402,613417.6014,574778.1184,578525.5064,591040.3337
4203,8,1,0,4,2017Q4,1680,615067.0072,618128.2595,607546.9009,620861.4856,611956.8306,590865.3822,606352.4352,573012.3804
14420,8,1,0,35,2016Q1,5666,572715.6851,626652.5158,601833.6333,606445.5958,622942.8626,611378.588,599096.7429,628371.0047
11651,3,1,1,5,2019Q3,4631,592553.372,619793.4297,595811.7459,584964.8696,627568.0134,593159.1475,572909.1417,613039.4853
18238,7,1,0,2,2017Q2,7484,613972.9219,607867.9544,574394.5304,587184.3463,617627.9384,619259.5487,594986.0234,579412.4257
19559,8,1,1,5,2019Q2,8238,598772.7683,580867.8066,577419.2496,610881.0682,577780.1799,605883.6971,603196.2762,581866.4262
1263,4,1,0,12,2017Q3,498,615443.3257,574324.6015,622591.2647,575648.2204,584590.3179,571429.0348,632804.7797,585528.7582
9483,14,0,0,33,2018Q2,3818,626561.4646,572893.8147,570478.8492,601909.663,596800.6639,616607.0226,576318.6447,620225.9192
18225,8,1,0,53,2017Q4,7476,583965.4236,576800.1495,627197.3916,593291.2533,598327.0145,575526.1573,589914.1,604441.571
22918,9,0,1,5,2019Q2,10827,574593.1118,591850.9602,606263.2898,627128.2531,629228.3096,612909.3781,630162.51,587058.6855
13731,7,1,0,30,2019Q2,5406,574463.4354,573169.1796,623339.6693,584059.8506,579709.6285,578356.7649,611165.2793,583691.2434
19597,7,1,0,34,2017Q3,8261,577087.7135,576694.7408,615066.5682,606841.2819,597038.2556,608060.8974,578965.1258,623105.2637
24395,7,1,1,5,2019Q4,12542,599261.8806,611742.1997,628177.1124,610233.9157,574008.4961,588430.0019,598980.6722,623527.1003
8588,9,0,1,5,2018Q1,3434,621379.2518,599785.6012,570661.6673,628158.8319,627069.6959,596341.3701,572851.6488,588664.6063
4147,11,0,0,11,2017Q1,1655,613629.3544,604454.4253,600215.6516,616762.7151,581523.0679,573521.992,607811.7256,569217.3361
25933,7,1,0,12,2019Q3,13104,599349.472,614599.6042,612678.2213,627181.4253,579920.0543,621684.3037,625376.1259,591642.6793
12135,7,1,0,16,2016Q3,4813,593358.8725,598857.1504,603029.7681,611905.3841,571875.465,598801.0516,626213.7314,609648.7736
24978,6,1,0,16,2018Q3,12747,573209.535,603269.063,611437.9876,573373.1389,608441.5398,605505.9777,625864.6202,612024.0164
2014,4,1,0,12,2017Q2,792,575242.8431,626363.0613,626354.0735,603003.9929,618296.5442,628895.2161,617675.0319,578739.2936
24380,11,0,0,4,2019Q3,12535,587983.109,621952.6804,611601.3832,626234.572,593741.8078,587012.1195,587162.6208,568834.9234
11264,6,1,0,12,2016Q3,4467,584136.9925,614642.6062,582985.345,571986.1112,591771.3837,599242.7454,618987.2145,613745.9845
25161,6,1,0,12,2015Q3,12823,611337.377,614911.0635,619706.9507,604416.6987,588071.3787,611121.8337,587344.5522,620286.4789
26151,5,1,0,12,2018Q1,13200,575362.2209,620533.1247,572570.5205,609018.3471,629255.9365,624587.8956,581696.9929,621832.4394
7382,8,1,0,19,2016Q3,2935,598473.4126,612234.0256,586708.3433,612323.4053,622877.1086,585869.9257,585744.7682,581896.8007
20526,7,1,1,5,2015Q4,8883,630231.8023,610487.9972,582276.4672,593974.4275,602298.0048,594942.806,588679.2294,578562.5388
21909,8,1,0,12,2018Q4,9897,605970.4509,593804.528,574665.9424,613278.137,609720.5072,578250.0154,625552.7354,616254.5563
7611,8,1,0,12,2016Q1,3033,625455.6474,592947.9381,593368.8603,591890.5771,583320.7988,625918.4041,598469.6018,575318.6622
26595,6,1,1,5,2018Q2,13368,603955.4378,578648.6821,612562.0409,588720.2817,626150.8719,587585.4437,573024.0962,611504.4047
10012,8,1,0,18,2017Q3,4011,627062.6615,610162.4446,571314.1701,601255.6457,604922.5613,582196.5085,612630.3608,621556.1355
19262,5,1,0,18,2017Q2,8059,618337.5862,576393.8667,598519.5346,576156.6256,575162.7609,610097.2868,594484.0972,570496.1488
25616,6,1,0,16,2018Q2,12994,604531.3334,580955.8503,583384.6389,599594.0383,576153.9267,614801.2534,573409.6223,611975.2863
18621,8,1,1,5,2019Q1,7697,624881.5376,625741.0078,622460.3803,598275.9184,624846.935,619206.7385,589081.1206,599965.744
2257,8,1,0,0,2018Q3,899,627081.2207,573139.2953,581316.1134,596080.6231,592428.5061,612688.0009,623204.849,581244.3057
26592,4,1,0,12,2016Q2,13365,609115.4064,618357.1352,573494.5178,607471.1722,601198.5568,578479.8421,623252.9183,619728.2968
8578,12,0,0,33,2017Q1,3430,574519.5252,570466.5357,619833.312,619371.6944,591969.5419,616817.3828,602948.0376,576687.7638
24603,8,1,1,5,2017Q3,12614,573357.689,613409.7813,624755.1098,597616.7979,604014.3348,596309.7996,625936.6053,604049.5475
23039,7,1,1,5,2020Q1,10969,629020.11,572835.8863,584015.4656,598381.1249,584444.9374,616839.8083,583518.068,590312.146
21291,5,1,1,5,2019Q2,9401,603963.8001,607372.8098,579692.4145,591713.3865,581015.9517,604237.831,603408.1626,601556.7574
10493,7,1,0,13,2015Q4,4198,621435.8692,610354.5723,623126.5823,612204.5747,616019.1103,602039.6634,604979.003,587638.6031
937,7,1,0,8,2017Q4,375,591620.8106,577332.2046,598232.6735,599671.4986,575224.1703,612174.1693,612535.2693,609655.3189
4290,7,1,1,5,2019Q2,1719,611198.9519,625005.0354,608649.2667,609567.307,620117.7519,618004.9869,621720.3084,618604.4073
5310,7,1,1,5,2019Q4,2117,603844.3696,607424.1721,619463.8968,626471.4773,611655.4913,600002.1038,627240.5389,586389.1061
12404,4,1,1,5,2018Q1,4903,627977.7327,577500.2496,596088.6541,613149.044,577507.9114,607508.6888,597534.3389,584912.0081
9752,5,1,0,12,2016Q3,3917,590421.0653,619643.3697,626703.983,607073.3376,591649.2194,611076.26,608626.1935,628419.4125
18259,9,0,0,3,2016Q4,7494,618899.0031,576869.417,606184.6108,575396.8784,587952.3841,611168.4548,582650.0614,592616.5398
7921,6,1,0,4,2019Q4,3157,601803.5202,585406.2488,576471.4263,576732.6893,582525.9225,600751.9939,602016.4829,607704.4444
975,7,1,0,11,2019Q2,385,612805.8234,607433.2588,598787.9601,573316.7846,621137.6515,621655.6216,589038.5229,619378.6063
20873,7,1,0,8,2018Q3,9099,570134.1463,612913.4112,612317.547,590169.9011,612206.1008,612058.9179,611808.597,593869.307
6051,6,1,0,12,2019Q3,2415,618535.6772,569120.3173,595771.9984,615705.2132,621392.2353,575913.5178,619304.3319,607467.2695
3817,10,0,1,5,2016Q1,1511,625947.8625,624905.1465,589285.4044,617596.0199,579087.2436,609138.4099,606026.6564,624265.2306
18048,6,1,0,28,2018Q4,7384,625214.8077,583463.9379,572558.1156,573326.7808,606115.6114,625264.6606,591463.8051,593087.7622
5160,9,0,0,77,2020Q1,2063,571035.2229,608450.9924,614325.325,622506.1922,627056.943,602033.5441,610729.1421,603353.8403
8262,6,1,0,11,2017Q1,3297,619783.5859,602164.1528,615460.5222,611620.3946,572042.8978,571488.8674,573949.6623,622949.8649
4813,5,1,0,2,2019Q2,1922,609699.4707,574427.3324,579195.7785,582847.4017,627908.6928,578343.0388,576291.0597,612779.1399
21920,6,1,0,34,2019Q4,9905,591318.0982,569233.6158,623892.6827,590514.2277,597898.1895,615969.4654,574017.3239,590267.0206
26104,5,1,0,18,2020Q1,13180,582581.4345,590472.5102,575095.2332,627716.7498,598282.8286,579075.277,625745.9234,572628.6696
17758,6,1,1,5,2018Q2,7238,620825.4711,595880.0403,589302.0716,571996.9991,591184.4523,604968.492,574622.4371,578902.4955
24997,6,1,0,12,2015Q4,12751,591829.3222,615224.2501,625675.1015,581476.7811,593583.0968,625037.1041,624127.5214,602528.1187
8620,7,1,0,35,2017Q4,3444,627421.1935,579249.958,628248.1534,622067.2489,626552.6196,623654.4545,595630.9162,602346.2349
14249,5,1,0,42,2019Q4,5590,585747.9092,594690.2308,628532.9313,593612.865,597106.6173,580780.8408,573126.223,610791.5007
10441,6,1,1,5,2019Q1,4180,576678.3114,623105.3136,570134.9659,627960.6443,624995.6239,603361.4508,572202.3913,625923.7676
25030,7,1,0,12,2017Q3,12764,616755.4305,579131.4302,574532.3738,595024.2669,615916.8313,621727.2573,624498.8474,607836.4269
4081,6,1,0,0,2016Q3,1630,607586.6468,596633.2882,576791.4527,585180.8233,617271.5004,611466.8203,585799.9403,568638.8754
7166,6,1,0,4,2019Q2,2850,622707.9819,575292.8475,592885.9259,625373.7519,634123.9705,622355.7759,586010.0225,614049.7297
19555,8,1,0,77,2018Q2,8234,595259.1173,587843.1939,617531.6262,592675.7978,625605.2249,590570.6294,606770.475,574113.7358
