,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_1_Y1,Variable_13_Y1,Variable_19_Y0,Variable_3_Y0,Variable_14_Y0,Variable_22_Y1,Variable_22_Y0,Variable_2_Y0,Variable_9_Y0
8360,6,1,0,2,2020Q1,3342,623092.4645,627151.4012,613749.1124,615854.5816,598470.598,583697.8905,603996.059,612388.0064,589945.2531
15986,6,1,1,5,2019Q4,6359,607863.2879,582647.9952,583340.447,607823.3303,575601.1548,628631.6384,597461.3702,601567.5445,596894.624
27930,9,0,0,12,2018Q3,13906,625440.832,626536.3811,605632.4987,596903.274,580308.5604,600518.3435,616295.2285,632941.6149,623612.8278
6477,5,1,0,4,2016Q4,2588,613887.9756,569321.2105,599185.7813,575791.9682,571479.8635,600724.1588,614658.0504,591265.2122,603580.8568
2966,8,1,0,4,2015Q3,1179,635031.2972,587241.9786,601703.4462,635577.8213,591754.7493,573760.0049,606766.5026,674220.3551,583820.7753
6612,5,1,0,4,2016Q4,2643,570158.6265,600381.0142,600156.1903,606378.3815,612876.4739,582154.2642,602175.1177,602289.4424,600893.4285
19332,7,1,0,12,2019Q2,8094,604068.8727,579707.5293,613965.7714,579726.0404,622923.8487,594775.5647,576593.4287,599158.5584,600413.4668
19324,6,1,0,12,2019Q4,8088,608121.8409,600132.9385,599226.5872,581726.604,574951.0628,598116.1297,569925.4065,618171.484,627673.727
17360,9,0,0,16,2019Q3,7039,588644.2452,625647.4866,579951.2859,598926.0541,612584.4382,577559.4301,597966.3176,628524.4901,600015.3958
3149,6,1,0,19,2015Q4,1245,579180.8158,615031.2666,578368.8508,628511.9768,571134.4918,583857.1676,577005.6348,611882.9301,621474.8634
23464,8,1,0,8,2019Q3,11433,579639.9235,581123.7413,599032.1831,613324.61,571071.9199,577922.2318,615840.1586,594445.4155,615915.5638
2215,7,1,1,5,2019Q3,876,626815.8674,610628.8363,609228.2096,582386.9821,618353.5891,599452.26,621423.0044,579008.4549,594366.2307
12585,8,1,0,21,2020Q1,4972,598590.0402,575735.377,573191.5569,624038.0811,610921.0052,574986.2593,608852.6686,585002.1193,587142.5772
18516,7,1,0,2,2018Q4,7634,611654.3345,585629.0214,614958.9814,594339.6638,603588.3857,572455.2086,582179.4502,573279.8282,622938.7076
19281,9,0,0,25,2017Q1,8066,579504.7792,593100.9882,573485.7869,602914.397,585734.2614,625654.0695,605598.8435,626313.6518,576018.6112
11502,5,1,0,0,2017Q1,4573,599902.7073,608897.7338,574849.7248,591410.3186,601808.9546,571466.8627,585358.0995,621600.6578,597393.5857
25786,7,1,1,5,2019Q1,13058,615044.8465,591750.4121,615123.3846,585247.0019,570539.8947,582612.4597,607196.7346,578893.0975,625317.2918
7507,7,1,1,5,2018Q2,2984,595258.1264,582851.5961,603690.0969,620652.2907,585181.103,614095.3261,586896.4644,585314.1706,604173.0417
24510,7,1,1,5,2017Q3,12579,599651.5735,588696.1654,605244.6633,621699.3421,614850.4262,619549.7068,596918.8411,596781.2261,612143.599
2234,8,1,1,5,2020Q1,886,580999.3523,571426.3557,583970.9697,588845.2714,624739.3233,616604.1235,608962.4364,602293.7872,606886.8151
18356,7,1,0,0,2018Q2,7549,617537.1687,588801.147,616547.342,574235.5109,570218.7479,575007.2592,617858.4359,606299.9821,575607.3432
24378,7,1,1,5,2016Q2,12534,617547.8428,608038.6376,597481.2029,600805.9054,591957.6524,599112.5421,607469.3037,598284.1051,623268.6561
8725,8,1,0,18,2019Q4,3490,593512.8181,588537.9886,577984.1759,614086.8612,588886.564,573235.4015,620224.3546,587162.103,618763.4405
3073,8,1,0,11,2019Q2,1221,587492.4642,616185.5745,598589.5949,616046.6331,615334.278,600918.2079,575651.52,581273.4641,600136.1102
18387,6,1,0,18,2018Q4,7567,588686.4323,583043.3051,581036.8617,572328.2035,575444.7723,581456.9583,609385.5087,614541.0152,617148.586
22529,7,1,1,5,2019Q1,10443,617262.1338,623538.0949,599362.2108,598378.9182,569678.0842,618449.5884,586324.3037,610302.7938,580709.4999
5045,9,0,0,11,2019Q1,2017,579857.7089,627017.0649,631075.7056,663084.3184,597619.71,573098.9182,616352.1063,751188.5398,661965.2196
20814,7,1,1,5,2019Q4,9065,578483.1468,584083.9944,576188.6796,608323.8065,572304.1609,595535.4801,613827.0678,597492.0215,573196.9237
26649,8,1,0,34,2015Q2,13382,612912.2695,624324.9005,580303.3592,587560.5619,619215.4077,600260.2369,603753.6994,602345.7131,581816.4834
25525,4,1,0,12,2016Q4,12960,571004.7896,628643.5071,589393.0473,588817.7189,609722.3659,607347.2209,591723.2267,624924.7574,570854.8572
6163,8,1,1,5,2015Q2,2466,613500.6458,598434.3828,584006.2858,622071.757,591583.7221,614552.4292,616076.6289,618074.2063,568886.3755
24784,8,1,0,80,2016Q4,12671,600368.476,607256.1493,616930.4287,587672.9912,593778.0562,626803.656,575330.7334,576864.7654,593000.563
26141,6,1,0,8,2015Q3,13197,583362.316,624759.2322,579500.2403,608126.8488,595105.9246,610794.2005,618498.0445,650803.8771,612990.268
23572,5,1,0,12,2020Q1,11563,609869.3846,577230.4952,598405.6922,584035.9386,610267.1061,595555.9724,617140.2378,593591.8132,592923.6822
15295,5,1,0,19,2016Q4,6034,600994.8217,628351.2856,626210.1069,602175.53,598761.655,573583.6252,570518.0071,610976.3175,614518.639
9733,6,1,0,53,2019Q1,3909,580910.3131,578516.9019,604256.1272,621513.4252,594256.4551,597034.3898,613784.1674,619551.4884,580546.3156
4634,3,1,0,0,2019Q3,1855,598301.2347,573976.7238,583671.6861,599396.0644,627217.8794,609772.591,606574.2831,619174.4499,582908.2055
7834,8,1,1,5,2019Q2,3123,599763.056,615595.1608,584939.5203,626064.6298,583255.8753,594252.2042,589753.3401,583918.2507,624186.6986
23514,8,1,1,5,2019Q3,11498,585145.5931,586386.2345,617546.7987,589899.0049,586865.1311,593541.2467,599837.1834,629624.9025,594231.073
14375,4,1,1,5,2019Q4,5647,593837.4377,612431.9346,580047.0268,576484.3471,627982.4893,588627.9201,625882.905,618572.4682,616025.2372
20547,10,0,0,33,2019Q3,8895,575770.7503,576075.2272,584277.9389,635584.1967,582838.9147,627000.5943,621036.8091,597579.7068,590766.6516
11721,8,1,1,5,2016Q4,4661,593328.8464,623980.8673,623302.3164,600281.013,577507.6681,599295.0461,587638.855,610915.9246,616949.3906
19177,6,1,0,80,2020Q1,8003,610537.275,587559.2037,622117.6796,572336.4692,626846.1789,581537.2422,609393.107,585654.8223,592075.8962
3527,7,1,0,19,2015Q3,1397,573748.9413,580188.9532,604082.323,604516.0506,625463.5974,594328.8201,573535.1185,634518.3317,596842.5198
2317,4,1,1,5,2020Q1,917,600950.5718,592917.8599,627602.7321,623565.929,579709.8797,593771.3739,599865.6615,614690.7077,595820.3518
3958,8,1,0,12,2019Q3,1580,569803.7033,573222.1401,629238.2186,626400.7778,585250.2297,621491.0783,612938.7537,600297.9451,605562.6977
12882,4,1,0,30,2017Q4,5071,586421.4331,617506.0973,578587.6398,593119.2363,613267.5209,600048.1084,603987.4075,609032.0301,594857.9878
22338,6,1,0,26,2019Q1,10257,568696.9227,586724.194,606309.9853,617408.9237,586247.445,596447.22,576816.6966,608613.8927,609156.2785
2914,6,1,1,5,2019Q4,1159,606357.9569,572433.4613,611318.5933,633691.7684,612206.3286,582729.9085,598177.1121,598253.7815,587036.8972
23382,8,1,1,5,2020Q1,11341,625773.2434,574040.6784,595324.3012,598399.5116,579784.858,589341.9617,624929.5251,580432.6334,588466.5919
8112,7,1,1,5,2017Q1,3234,597281.6048,571193.4907,625643.6192,584907.0495,594923.0774,626908.1835,602494.6988,687618.4335,610534.435
2331,12,0,0,8,2015Q4,924,574057.5141,628114.5603,575662.5602,583019.3735,576200.6584,597152.4057,600229.3376,591565.8527,619000.2896
27756,6,1,0,12,2017Q3,13842,570263.1164,605703.5074,595012.5388,588854.8481,620997.7626,584902.7291,606304.9213,626490.4161,613810.6342
5907,8,1,0,19,2015Q2,2355,620858.6508,570289.5577,618348.6339,582922.8775,606471.8408,587345.9465,589882.1592,610854.0372,631699.0762
12706,4,1,0,30,2015Q4,5007,608474.4796,585145.7091,589228.7603,603213.6925,616654.7167,586246.0035,590738.0381,612387.166,607772.4596
19242,6,1,0,3,2019Q4,8043,584103.0145,582789.0919,585732.6384,596914.0093,577437.5291,575128.787,604327.4834,612373.8871,579540.9116
5383,8,1,1,5,2015Q2,2145,597839.3983,622288.3951,617161.8329,584787.7935,606315.3621,578680.7918,592019.26,579059.5831,569974.0307
16029,4,1,0,30,2017Q4,6378,578191.6222,568618.4172,572434.8913,602722.8352,612652.4139,591173.63,609283.5488,597515.5674,615724.0765
1931,5,1,0,12,2018Q1,759,600420.2831,573117.4068,612364.3847,616164.5052,601710.6702,616987.1387,617670.4897,574616.3424,602523.6323
2988,12,0,0,4,2020Q1,1190,597586.821,609275.2011,618868.3566,595317.9276,603480.1947,588074.1165,606857.2481,616967.4116,606884.7943
13943,8,1,0,21,2019Q1,5482,610006.2144,581701.1274,594582.5927,609177.7688,597791.1419,610727.5412,589356.1446,604962.7504,592441.9374
23983,7,1,1,5,2020Q1,12080,621875.4679,597025.0008,587093.3958,611787.5338,626714.3824,592704.5839,620809.0606,619662.3815,614880.9055
2753,4,1,0,4,2019Q2,1094,613196.5883,595702.95,625515.794,608937.7315,576090.7387,581730.0269,599720.4775,590102.8852,594912.0647
26040,4,1,1,5,2017Q3,13143,582645.2647,599909.9959,605761.9161,581727.845,621972.9948,570642.1987,618157.7165,596216.94,585650.1768
214,4,1,0,0,2016Q2,95,604008.7865,595800.0505,577253.5134,627452.7177,616421.5708,627668.9155,579330.4364,607328.3245,575710.9848
13888,8,1,0,12,2017Q2,5464,599624.5856,584988.0495,587034.6508,622476.7979,589141.4172,619213.6863,603893.8348,576551.3381,576174.723
8894,12,0,1,5,2019Q3,3554,606063.2545,600042.8019,580185.8645,578903.1068,595877.2745,583958.4975,590230.5744,593054.1397,578177.6451
25469,6,1,0,4,2019Q1,12941,592452.7988,575342.6544,608054.2151,620861.598,578026.4517,574470.6682,616751.9223,610708.6466,582234.573
21133,8,1,0,53,2016Q4,9279,594466.7696,617356.141,564858.1626,613770.5959,645242.2412,632677.279,602976.2425,639548.0385,597689.546
10549,5,1,0,71,2016Q1,4215,628311.6806,612904.9643,624355.4763,591887.7863,602083.022,584974.7761,568803.3939,609637.9264,578400.4243
8896,9,0,1,5,2016Q4,3554,584619.6382,628269.4848,574404.6011,576397.3911,593330.5224,616346.4542,619888.9304,593708.3592,588714.7282
27232,8,1,1,5,2015Q3,13612,612786.0252,596682.6228,590794.8629,627975.0812,572004.3032,592311.772,618194.9462,578284.819,603383.0668
12473,8,1,0,19,2018Q2,4925,604145.316,604545.9154,614664.1348,627299.688,609772.3012,590914.7212,609128.824,581227.4801,589496.1815
25572,8,1,0,8,2017Q4,12982,594682.9032,594009.0869,570507.6554,612812.43,569393.6996,579107.2872,614035.9783,614747.1212,577770.6429
7488,7,1,0,33,2015Q2,2975,624235.0512,597386.489,616814.4225,609944.3622,573602.0873,608317.4938,627222.4594,611563.8834,616744.4322
9044,8,1,1,5,2017Q1,3628,618972.8037,590403.2868,600910.1409,590446.6427,590196.4241,616802.0817,596648.6008,589643.7226,622874.8718
16493,8,1,0,25,2016Q2,6602,632663.3185,594798.0526,650205.2851,600346.752,617605.9545,598914.4741,614097.1843,620984.4721,658804.3259
25052,7,1,1,5,2016Q4,12771,585069.24,598888.382,580283.0795,598173.6296,573176.247,594421.023,622161.9201,582471.255,592298.3256
1939,9,0,0,33,2016Q4,761,611182.9181,619971.8065,629830.1889,582126.2348,598184.4663,587717.4183,583070.1358,606218.8795,589480.5174
20958,5,1,0,18,2019Q3,9152,589984.0767,602903.3929,633442.2305,598905.4533,622184.1083,621855.1055,574740.1725,588770.0759,631225.7132
15594,7,1,0,11,2018Q2,6186,603204.6227,600926.525,607443.307,596732.1748,623430.4308,591597.0955,617676.3973,641582.9954,586289.4767
24619,8,1,0,12,2019Q4,12621,606265.0459,628162.8652,577545.4954,595182.2334,590978.1666,573365.3757,605299.3071,579204.5717,615587.5866
1736,8,1,0,2,2015Q3,681,583513.6184,618322.5613,574053.1035,592072.2344,619661.0536,624535.5497,580195.3015,602084.5712,577495.037
775,6,1,1,5,2018Q4,315,622752.1448,592355.1245,613997.279,583433.5348,605251.7983,594101.9033,575557.213,598307.9259,607615.9524
5579,4,1,0,0,2015Q3,2225,570481.2199,597732.3896,610891.92,589256.6204,591008.8877,578992.0332,622261.7644,588778.5074,596920.2125
24638,6,1,0,16,2019Q1,12628,572026.4185,616789.5595,592541.9208,612492.8417,611614.683,601451.651,585178.7676,583538.1821,628778.3916
21722,7,1,0,2,2018Q3,9730,600842.2107,578391.8311,598579.614,629561.9174,603238.4996,625660.0525,593259.1207,630367.1643,574271.8736
21870,7,1,1,5,2018Q3,9863,617423.187,577371.2964,614433.0998,623088.9887,586039.6049,620967.5811,593461.7387,597042.7402,610612.3577
21347,7,1,0,18,2018Q3,9445,619289.4722,584119.4578,604602.9588,594874.5577,607096.3082,621254.6929,594057.3194,580664.9342,623462.7718
9768,8,1,0,19,2017Q3,3923,595638.0874,622592.4349,609492.4102,631443.9561,619239.2356,572811.3645,575712.9095,603026.3261,583707.6005
10759,5,1,0,8,2018Q1,4287,606898.6671,620455.9398,620816.8084,619063.7271,587660.0759,573022.7501,571100.1384,626480.8752,577738.4243
6007,9,0,0,28,2019Q2,2397,600131.5305,603175.2844,591454.9602,598922.8679,575493.5051,579920.8121,599178.7252,603113.7805,578039.7967
10730,7,1,0,19,2015Q3,4277,676172.526,578460.4981,767321.487,866372.7956,675755.3141,574963.8643,628559.6472,1255950.893,822643.4957
15330,7,1,1,5,2016Q4,6048,598524.799,617198.7721,606062.6916,571855.462,613408.686,587376.056,613800.7498,629731.3242,590116.3666
17974,8,1,0,58,2016Q3,7348,605530.7119,597062.1682,612887.97,583173.9823,571358.9908,586616.8219,604313.5771,618180.2158,610601.4985
7415,10,0,0,4,2016Q1,2947,626682.8863,569526.7225,580726.965,584224.699,599202.1392,614271.3838,605838.3345,584130.0038,576712.8662
10675,8,1,0,19,2016Q2,4256,576609.0577,609476.1158,603269.6043,587624.1289,587299.5254,613772.4739,590742.3008,603006.5025,578926.4528
8619,7,1,0,35,2019Q1,3444,608746.7817,574469.9588,579191.3747,617466.9565,618734.2198,627887.5621,615597.4136,586809.4674,584366.4917
24362,3,1,0,77,2018Q2,12531,617818.3585,589944.1204,626605.0197,615969.5793,576200.9468,588598.8964,601791.4314,605217.4694,597871.8399
16005,8,1,1,5,2018Q2,6367,607208.7289,571765.9218,589100.5632,578588.4497,626048.11,622556.2394,612580.1846,601807.7022,578309.6068
1363,5,1,0,53,2017Q4,537,571996.4941,599949.7343,581469.5629,625348.9403,617858.5327,614349.1552,613813.2221,618263.8575,588915.2652
10763,5,1,0,8,2015Q3,4287,603542.2821,581111.7825,588637.0396,601443.508,589814.4637,588663.9236,597800.3515,573997.9308,609932.8094
395,5,1,1,5,2015Q4,168,586447.7527,628181.3395,600230.4334,603023.5062,594389.5739,607190.5136,620290.1468,611610.8721,624455.6362
2661,7,1,0,4,2019Q1,1055,600270.7243,619343.3467,600161.3251,577726.012,574417.9093,596297.51,597978.3297,583505.599,583707.916
8567,7,1,0,12,2019Q4,3423,582715.634,613070.4937,618716.1454,610929.8088,597484.823,607053.648,603710.275,589547.6263,578515.1331
26131,5,1,0,12,2019Q3,13192,604571.1194,595773.5492,597605.2472,613368.5873,582395.2203,583985.5007,608529.69,600253.0181,627288.8524
26467,8,1,0,4,2019Q4,13324,582335.5504,587574.146,603588.9642,603853.2156,582763.7801,602368.3695,626299.1877,628454.8567,617887.9821
6410,8,1,0,4,2016Q2,2567,626250.8272,569949.3486,604582.7793,594044.6176,570855.2249,620150.4975,592402.1129,621502.0117,581804.2454
2309,7,1,0,11,2019Q4,914,620276.7875,592026.3205,633044.0933,591876.1092,595330.0292,600374.1724,605367.4519,610495.234,623468.5624
863,8,1,1,5,2017Q4,348,595154.5207,595818.6542,573893.1279,592466.763,620753.1512,615199.5266,577239.7979,602507.3993,582126.9865
19447,10,0,0,21,2019Q2,8168,572761.6042,599717.1903,586741.1987,612500.2725,599189.9434,575805.6775,608937.2965,603677.9011,623383.5993
3640,14,0,1,5,2016Q2,1443,612325.2639,616956.2192,582671.5716,586422.3382,582221.1784,619488.7011,586996.7495,588362.5014,613827.8561
26541,12,0,1,5,2015Q2,13351,577228.2065,610654.0874,608918.445,599139.6671,606658.0741,604452.4738,580268.1596,596615.9358,580671.7496
7049,4,1,1,5,2017Q3,2802,629690.9606,578533.6781,588038.9253,612607.5682,576430.9865,629130.0269,593997.7042,582628.1513,617836.4798
20290,5,1,0,3,2019Q2,8700,618861.1127,575653.2596,635813.925,570285.7277,601505.5046,604655.5947,604661.7194,592065.9415,617012.8024
20229,7,1,0,4,2020Q1,8656,579850.2159,576511.499,611441.7099,583817.2722,573153.2545,624915.4165,621832.2087,588424.5464,570678.7809
7711,5,1,1,5,2019Q2,3082,626398.2533,607844.9536,620108.4788,578437.4877,625168.7383,615406.2547,578963.6355,583140.3443,585509.7844
11119,7,1,1,5,2017Q1,4422,607483.9017,622949.3997,614333.4763,600709.7342,597991.9055,605139.1336,621872.2634,613879.2172,584192.5826
16749,8,1,0,4,2017Q2,6722,594596.7068,571489.592,628827.0726,572233.9069,621199.0057,611062.8896,599429.0972,610022.7314,581294.0469
11259,6,1,0,80,2015Q4,4465,575302.1084,605746.0484,577863.7216,609816.5653,595720.6635,615833.1013,622609.6937,604472.2608,602872.3423
12773,5,1,0,8,2016Q1,5033,615338.7264,578123.7224,587888.1561,625290.7227,599918.3259,607875.5015,571805.2996,596503.8991,575752.3789
15248,8,1,0,34,2015Q3,6010,604698.8579,579864.7185,627265.5334,613730.5461,628013.3479,606863.177,594478.0749,616133.6734,572035.2376
6959,7,1,0,24,2015Q1,2765,580028.7427,625929.7367,582610.1588,575993.391,592192.3637,577327.2919,607086.1128,641875.4655,579787.5217
5787,5,1,0,12,2020Q1,2306,582577.0201,597138.8323,596548.2924,609332.4427,620592.7941,612862.6976,625653.6062,617480.4916,604145.3611
26633,11,0,0,0,2017Q3,13378,585518.1748,609251.7602,624756.7983,621119.9713,595443.7534,589430.4704,605727.2038,603734.1355,571552.7148
2074,7,1,0,10,2017Q3,813,620835.8781,616916.6676,585527.2789,607298.6736,614019.1837,601113.2932,599391.3608,610806.831,569359.7973
6044,4,1,0,12,2018Q4,2412,594404.1185,613498.0529,627518.3085,602743.4194,601521.7002,588149.2533,618398.7401,606021.6329,589985.6751
11446,7,1,1,5,2018Q2,4550,577177.8961,583292.4688,599481.1157,605478.108,570541.7579,625588.7655,571662.7412,577787.2287,606224.8625
12867,9,0,0,12,2017Q2,5068,582935.464,597221.146,585048.9812,573453.6585,624276.798,621213.804,574135.3728,629509.4764,619782.0902
19156,8,1,1,5,2020Q1,7989,597440.8701,586681.8674,609144.1344,595996.8594,571044.7423,617356.9384,597606.6657,634484.2542,615917.3082
10636,10,0,0,16,2017Q4,4242,570568.558,625292.8167,607661.7401,624388.2421,599797.3852,627458.6273,591383.8775,576476.1026,596697.1343
12053,10,0,1,5,2016Q4,4792,587770.2775,619960.9586,576570.8586,621473.6664,607162.3422,577604.5033,601983.1179,580733.2488,596469.1389
6806,7,1,0,0,2015Q4,2717,569683.3236,574674.9503,628187.1319,622265.6305,626860.805,619781.0163,596496.922,629686.1131,571123.9555
25803,17,0,0,33,2018Q4,13064,638913.1374,607707.4142,653809.9428,722138.7323,621795.9181,580841.4868,620607.4119,736928.4928,624085.254
17005,5,1,0,62,2018Q2,6851,577916.0254,611430.4605,595135.8277,597295.4075,603312.8146,572814.3347,597578.6358,625743.9797,588498.3327
19829,7,1,0,10,2019Q1,8397,620924.9707,616235.8551,581380.0995,577549.4608,616638.7104,600887.0393,574045.9044,593920.8521,589181.8668
4097,9,0,0,55,2014Q4,1636,633687.1599,607782.683,481564.9899,734940.0866,642299.7385,641841.5536,574466.8368,1096126.797,742432.3196
18838,10,0,1,5,2020Q1,7818,623287.4963,607799.7745,598391.9401,593589.7194,627566.7347,602782.5051,612374.1231,632914.5328,603296.4518
10038,7,1,0,11,2019Q1,4022,615648.1289,582188.88,619584.3925,618808.478,598333.8442,611918.0684,622093.1528,595837.7592,621062.2507
