,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_22_Y2,Variable_20_Y0,Variable_19_Y0,Variable_3_Y0,Variable_24_Y0,Variable_14_Y0,Variable_29_Y1,Variable_12_Y1,Variable_13_Y1,Variable_22_Y1,Variable_22_Y0,Variable_21_Y0,Variable_16_Y0,Variable_1_Y1,Variable_29_Y0,Variable_1_Y0,Variable_22_Y3,Variable_12_Y2,Variable_9_Y0
8726,8,1,1,5,2020Q1,3491,571826.6891,598644.6869,603878.7468,595477.4932,614936.029,617303.1597,592169.9784,606837.2758,600324.7543,574322.8703,582809.188,615286.0504,625175.8674,579285.5513,621743.0051,571153.8399,583071.245,619299.0817,580956.2091
3034,8,1,0,11,2016Q3,1206,591191.1572,623751.8944,595862.052,623769.8552,607378.2715,592494.967,627410.6747,584751.9835,609674.3086,583086.5395,609899.3961,591887.5031,614526.6036,581249.5549,628004.4026,593650.5021,600579.0092,576137.8518,606875.4475
457,6,1,0,35,2015Q1,197,627177.1139,622512.9208,606283.6091,603202.8583,613442.0474,626846.4839,571331.8365,595671.3237,587068.7713,598091.052,613716.2406,593744.0067,621582.065,591397.6533,581930.6759,589090.3328,600421.2111106359,626402.4001,633368.1616
23455,4,1,1,5,2019Q2,11424,617195.6501,587514.8355,601672.7257,609958.75,581287.6223,594780.4663,618690.2625,602966.5863,575773.6505,619675.1356,627273.9589,623089.5928,625939.1218,611621.7237,624274.8905,588055.0813,598707.5741603158,598365.2443,613409.6735
22332,7,1,0,25,2020Q1,10252,612772.754,598459.6621,627366.8968,619658.0086,618095.4666,628253.1528,575002.4338,622441.8569,618909.2293,606626.6752,624206.1593,624928.316,618821.645,595630.4874,577954.0366,600486.315,572274.7947,598833.1043,598754.117
17776,7,1,1,5,2018Q1,7249,621059.0326,627441.9537,599617.8715,600621.9953,572157.4014,595751.5226,607688.3332,603902.378,601517.857,589780.9838,617374.7814,596118.4581,593668.8004,590228.7246,591758.9888,612146.9471,622925.1536,606476.5762,587126.5142
1918,6,1,0,35,2018Q1,752,583157.8951,570140.8567,616628.4832,625300.8106,607540.6826,624658.1001,598883.5600162947,602056.5388,591025.7876,581743.3016,600362.5713,611304.4074,597577.4169,611714.7174,599985.7710735518,610332.3482,603173.0184,620153.5791,577675.4821
5482,7,1,0,8,2017Q2,2186,611803.8254,592016.5918,617082.7624,622029.0295,625407.361,627432.1471,599166.2046,627127.0184,580603.0793,585201.5163,594921.5159,610741.0902,625122.018,585731.9625,592461.6455,591826.2739,570757.0214,574306.4543,613658.3516
7457,11,0,0,87,2017Q4,2966,606286.4432,572217.6802,612896.9626,583716.2177,592554.0134,619622.4943,602373.5754,590001.4042,619229.8896,618553.4674,569674.5774,621532.5771,613447.6978,595522.7246,579321.1193,581772.2546,590441.5837,596815.8689,578195.0218
20733,8,1,0,30,2018Q1,9017,599558.8900491762,622375.6598,611354.7355,580577.6199,614262.7628,615190.1609,590695.996,582994.6825,625937.239,578529.349,590472.6731,574587.2234,572840.7606,624070.2386,617788.9273,601811.4561,599313.1023843965,597862.9506951718,581972.6732
20527,4,1,0,42,2020Q1,8885,597823.9221,600471.1806,595875.026,583669.3612,626794.8257,572598.3355,615621.133,627770.2489,577782.8964,599995.634,592397.9805,570941.5288,621294.9426,621954.0574,575094.109,583742.2505,618938.6485,573698.2762,613234.6982
7330,9,0,0,19,2017Q1,2916,596875.5981,600638.5037,610376.461,599161.2513,595983.0966,586275.6978,586864.2129,600107.4279,579603.5362,573115.3211,604989.8671,612953.7438,606753.4719,626970.9015,597134.6502,599614.3743,599002.5818706002,620717.91,607161.7031
17423,5,1,1,5,2017Q2,7074,620856.4994,620516.2226,622030.2624,599279.5811,586580.8177,583095.64,620400.066,609402.838,571057.8588,605317.0106,582043.7597,583810.2771,653760.9232503732,615827.3991,596369.9541184817,620358.9758,602781.6393,582124.333,588284.363
11419,8,1,0,6,2016Q4,4531,624204.8064,589820.5038,631148.5788,583244.8945,624265.5512,572997.1651,598189.4429208784,588397.5321,607002.3011,611216.5884,575483.5013,622437.8132,573056.8954,627907.5671,599488.8345,626849.5671,599277.8195677887,589520.9753,589623.1937
11177,8,1,0,34,2019Q2,4439,612632.0033,587558.0068,642289.847,619733.6973,606240.8151,620942.13,584847.1965,613904.6461,571181.8202,572013.2852,626128.169,597002.7444,611762.1609,624630.2901,616189.3559,613453.0154,592442.7321,607728.0008,680730.9004
26469,7,1,0,4,2016Q3,13324,621535.4494,606880.7875,582711.6223,608653.4506,579163.4724,601831.845,608181.1517,619388.3041,577444.9182,584398.8078,601253.4123,572173.1821,594535.0542,608516.3613,591928.2407,623181.7057,604635.8689,605418.2012,596741.1625
9220,8,1,1,5,2019Q4,3697,599111.0743,607691.3501,617207.254,588385.0146,581455.9588,604082.4212,626818.3582,598581.461,570577.6682,603769.5108,612690.0199,608784.6348,656052.5170545473,581043.0466,615957.763,577788.7473,610768.7064,615959.7027,609092.9547
10134,5,1,0,18,2015Q3,4059,600556.2776941227,606460.9822,620575.9417,613779.6274,581375.443,624453.6876,602077.9978188445,594570.022,586537.3109,601663.591,605795.1044,591651.924,602345.822,570212.8876,602230.8791729428,606424.2811,599562.8792430636,598794.9127220717,588844.6187
12855,6,1,0,0,2016Q1,5063,597521.810322776,598447.4870177703,584497.3956,599735.8257092417,598487.1128337831,596595.2676499342,598357.35219411,598208.4378038957,598811.2853414755,596763.1755329738,592748.726052596,598544.8309938106,606598.8090608888,595831.3425730865,598228.9325377826,596214.2183648089,598947.920318863,598417.7886754443,594500.3761290772
8310,6,1,1,5,2016Q3,3315,600953.5096922625,606803.9848,592889.4991,598712.1856,592876.8583,591804.6274,601089.1636,614158.0963,573279.0727,592834.2416,600432.2299,575778.0712,599632.9102,603669.6708,593745.793,617646.9829,600185.5825495401,598626.7338412048,627285.9292
23861,5,1,1,5,2019Q4,11918,586103.3691,585535.8218,598905.7189,610722.7608,577907.6726,606176.2676,587955.197,613590.8781,622305.9869,601657.5191,581535.7698,583348.2656,610141.0874,608447.3823,574649.7879,608988.0413,604779.9857,597598.7756,610336.59
9358,6,1,0,19,2015Q2,3755,599752.4090919781,593918.1841,579228.8579,581215.4741,598084.9994,621029.204,595435.7397,594841.3106,603291.7187,619043.1711,584560.1578,622242.0861,606164.1371,587243.457,588621.5356,574943.9065,598803.399723753,598162.2387220487,622794.8226
21623,10,0,1,5,2019Q3,9656,598044.6038709304,623123.7992,614968.3536,605572.9479,577222.0514,579337.285,598787.219357024,598822.7395742534,622252.1407,570831.7138,589967.8283,569843.1483,655567.669805346,568602.9483,596351.0142497602,586143.8231,599329.2999851933,598914.6167604114,595876.435
8929,6,1,1,5,2018Q2,3568,600212.6888,612213.1922,575264.9412,583212.3779,595583.8305,577905.3842,607935.8693,591080.8754,577960.7898,595781.5224,572592.1831,622575.1979,591252.5111,619258.6446,585400.0816,573377.1026,614916.6481,609604.9837,600929.2291
1417,5,1,0,12,2017Q3,560,599219.1347,590521.8745,602177.5195,609794.8206,612639.9305,575345.5702,616766.0657,585345.8596,578267.9499,590379.5465,616758.0678,578953.7606,595093.0264,593850.2987,592286.2216,628601.4616,589517.9307,616230.3658,620942.704
5164,8,1,0,77,2015Q3,2063,598355.9654066189,616652.4912,572801.2204,580012.9873,595696.792,581188.0417,568901.8014,588966.0148,574185.4141,625900.6826,601364.2571,592397.8449,622047.8856,585717.7529,628300.3685,593989.0984,598764.5025229742,598450.6042041326,602080.0651
6347,5,1,0,43,2015Q3,2543,602820.9697,597698.5196,629202.7193,621124.8213,625102.7084,650942.0719,606230.8463,606529.178,581470.0251,608704.9668,584355.4091,617767.6296,589904.7245,610766.0868,598267.2425,611095.1375,602823.8533869759,606348.4,662527.2461
1590,7,1,0,12,2014Q4,631,598380.1749193978,616485.0483,611808.5073,628150.0594,616374.0814,627117.1742,621442.1303,595539.8052,598200.295,570983.9417,569762.0019,622568.472,574072.0841,573263.6009,615339.8313,628432.691,598731.2517704937,598403.0102054212,575839.8031
3440,6,1,0,4,2017Q3,1360,593363.2023,616818.7454,593062.225,615081.2735,586551.0386,604434.5187,600209.0281854349,572166.05,592240.3952,613920.81,599404.8779,618781.2585,593372.546,590908.6962,599751.374189625,624408.1492,588685.2564,570415.0446,596415.9668
21491,4,1,0,30,2018Q4,9550,600381.7564836694,596980.8744,604948.599,599285.7905,585648.6095,589317.1751,623092.2719,611705.8059,575967.0829,591452.7853,614668.4503,568668.765,652090.0474023931,595818.9096,617595.5478,594005.1158,599694.66710439,599181.5055749542,617839.2077
10432,7,1,0,58,2019Q2,4172,584389.6765,596259.4007,608834.6684,627042.9742,599401.2808,598912.8864,572952.0995,615129.688,577593.1577,600412.9919,600329.5849,570489.9811,614631.0422,607818.1798,583612.9775,613205.1642,621227.5121,615583.5685,594450.9231
25147,8,1,0,24,2017Q3,12816,569620.4611,586354.0235,570780.0416,618803.3463,589030.1506,612070.8986,596048.8889,581516.6728,571222.5949,569408.7621,598547.1129,608101.1679,626376.9858,571538.6228,601672.6245,588749.2318,577139.4456,619410.6646,612294.6932
21890,6,1,0,36,2020Q1,9885,597945.46078642,600301.0825,621906.3969,573914.5431,613949.1172,596321.471,596538.0750436941,578454.4956,580092.3648,576457.6833,597124.8372,621644.1389,653963.2207673887,608273.8786,598928.5586506755,577903.7992,594197.9209,599102.2309256584,595762.4532
23563,9,0,1,5,2019Q3,11553,604129.304,627305.6088,582823.7528,602386.045,579184.6484,627742.297,622973.0874,589174.6559,599494.1831,592583.6793,612040.9102,569424.8894,654448.217885206,572774.6445,600831.5971,577909.0598,614650.3788,589609.4177,605136.1786
4480,8,1,0,3,2018Q2,1798,575810.0828,615422.6797,609890.4967,589990.0624,591434.9322,588384.9995,594092.110863408,616661.5497,617235.7468,576417.9311,613448.3355,604962.8731,651822.1960059504,619782.1198,595830.2616994553,598836.3552,601898.9857,570260.7304,613833.8016
10857,5,1,1,5,2016Q3,4318,607925.9635,607460.091,598905.6353,602212.8269,599948.1779,591193.8868,597948.8037341492,576299.8076,586102.3719,633162.2699,591708.0949,606823.8796,606655.54,602548.5522,603038.8784425481,605868.6749,600572.8552322031,575449.8156,636944.4011
17138,5,1,1,5,2018Q1,6922,601369.3448145747,604147.7669,568940.7193,619973.418,571749.32,625612.3665,602530.5744738396,627301.5495,620174.6283,624162.7453,599345.2841,608074.4702,652609.7967179449,613704.6882,601178.1446999146,573033.3867,599434.8350453594,599094.180083617,599686.4314
12588,8,1,0,21,2017Q4,4972,613122.7091,570645.597,577432.0654,608298.712,602409.2547,602010.0522,619800.4761,576732.8041,584103.8531,570669.46,610903.676,589928.1738,612994.1862,599998.1483,607357.1677,588986.0937,606050.7294,598877.4949,628757.3344
11413,8,1,0,16,2015Q2,4529,599827.0282799965,613266.327,605747.7892,601034.6115,591251.0547,585127.0116,603923.9456,609124.3602,579438.2666,600338.7753,602218.2297,600800.0819,573116.8618,627735.2841,609253.6645,570836.8567,599074.2045255648,598866.3273974573,570258.1097
6327,7,1,0,3,2019Q3,2533,606687.8457,575431.0885,591220.6554,620409.798,589658.3577,624835.1989,570433.3654,603747.5327,622457.8108,627019.2343,589114.608,620643.227,654028.3693758355,628633.8298,584661.2775,586354.1812,591676.3522,602024.9147,607850.911
7425,6,1,0,4,2018Q1,2953,575278.2777,569344.476,616755.2613,622024.9376,620412.1873,621087.3169,592262.6741,626799.3824,626542.2197,586317.958,587534.2998,620853.898,592448.9808,572082.9519,594391.7148,620713.0152,582498.3432,595397.3773,615833.1196
422,7,1,1,5,2014Q4,182,598093.8983184347,619657.0297,601434.2145,577759.1713,621459.7941,622651.1627,598475.9933339537,598112.5776635895,598739.8040417263,599240.2369095266,605213.067,574199.189,619164.7845,597622.6405423471,599607.5502087008,579491.0551,598760.4559757354,598523.6813778967,604009.8553
20257,7,1,0,4,2015Q2,8676,597944.1525963792,597031.5201,616074.9518,609860.1517,603676.875,597183.1617,597983.6967,617107.4134,576504.7147,572912.0472,576000.5148,581307.5619,605066.9373,570992.5179,587895.8979,615006.7786,599107.6873112997,598277.4728999947,628855.525
19472,6,1,0,19,2018Q4,8181,572250.7735,603487.9714,615298.5016,576821.4267,598108.9669,573402.2639,599565.706726854,583509.8374,569851.7147,615216.3256,588501.0096,586616.0954,576988.9213,583771.6481,600252.9886934315,595450.0749,598907.6064455202,573680.1985,583149.5797
4315,6,1,1,5,2019Q1,1732,591865.5161,602781.3561,593583.5807,581147.7258,596446.9906,587024.5921,598495.6456436869,600468.8816,621424.1013,618013.1325,585967.9217,616643.8659,611157.1402,626448.4197,599764.7707039036,600972.2216,615725.782,594801.9065,577005.3226
14777,7,1,0,0,2015Q3,5815,597732.299427568,617809.3243,585451.3565,584058.6187,581273.0052,583753.8079,596074.5601309405,623363.1799,584495.6957,582836.5567,624270.874,600080.9822,608857.4864,594467.3526,599539.8641036703,605558.9958,598763.525447444,598383.4527105434,578552.0055
18351,9,0,0,50,2017Q3,7546,590711.9498,602595.0903,722486.2002,730981.6139,586761.3371,620994.2572,605526.814,581127.4697,588938.4507,591327.1952,601064.529,606769.8371,584701.5939,625487.0447,594470.6091,582368.1121,604843.0673,609856.109,739637.9224
9432,7,1,0,33,2019Q2,3794,611670.9929,612053.6678,612392.6454,609774.6852,616148.5276,608100.3689,601118.8006929783,611816.7284,609959.426,571680.5523,608777.6973,602014.6855,571821.1132,578788.8988,600175.7702190193,597126.1518,600142.0741,583400.4479,593663.5406
22688,3,1,1,5,2019Q4,10607,580024.6616,608569.6861,623271.2482,652379.0734,574186.4089,578629.2635,630445.8843,605122.6037,603354.7608,600483.1325,590111.7848,572500.4327,571790.6873,607701.2545,586101.0269,593196.5042,599538.9627533494,624847.1635,601675.0571
24424,8,1,0,8,2018Q3,12551,577208.3257,603855.3595,601216.3794,592310.0411,589615.5919,614458.7422,598594.6811,594468.1111,616776.9009,591978.7847,571715.0864,593893.7959,596590.833,617099.6511,606106.4897,572246.0758,587056.1706,624400.6441,614055.0245
25709,8,1,0,54,2017Q1,13031,605989.3264,572647.1379,630965.977,595375.6887,606941.9216,584893.3827,600868.9363196344,594968.3806,587921.0418,591689.2279,573595.9378,581704.0655,613616.2521,575456.4518,598073.0402797088,608136.0371,599055.2441294695,626029.6469,609168.9924
3331,9,0,0,8,2016Q3,1314,607616.2201,614594.1964,584739.6878,604431.8463,581283.6524,614704.8833,595255.2456,574006.2714,580285.2615,603406.9206,612259.612,601588.2575,601688.7832,579643.0738,628829.1505,580029.2099,607450.2089,592871.5187,583565.6604
2229,10,0,1,5,2020Q1,884,604487.5872,611246.08,567094.762,602933.3504,592939.4285,612357.7802,589896.2309,616491.9758,576665.6297,617792.6648,568327.1468,605784.5149,611000.0867,586705.866,612438.6392,625239.4417,602583.8408,574176.2372,568735.2256
20759,11,0,1,5,2019Q3,9033,583084.2809,596148.924,583824.0278,608725.0976,618218.6757,618283.2931,597312.0551873362,575883.389,598012.0422,571390.54,584319.9852,625903.4416,625856.9586,605899.7901,620562.7622,596067.2121,581482.3061,609572.9536,590435.9112
24442,9,0,0,47,2014Q4,12556,599347.022268155,595591.4039,592410.1096,592771.2084,610747.8762,620913.9391,599182.2555576488,597753.4971896143,598756.7088076953,602138.0963456553,619900.7132,577638.4482,604947.499,600327.1536894012,617344.5566,585554.246,598906.1021432307,598042.445716793,615087.6123
20486,9,0,0,6,2019Q2,8853,599323.6865827229,583988.5713,622257.7101,622708.2909,577141.3789,580588.1637,598781.7567,598876.662,614056.5893,591837.9137,573862.462,604459.2392,572310.3856,622777.2704,628280.102,585589.5409,598872.3127494875,597796.8473329837,572906.4113
27748,10,0,0,12,2014Q4,13837,599885.954686421,586992.6793,616207.7629,583680.8758,613270.3609,597109.1814,598641.9121556364,597749.3544697646,599224.4007321008,598007.8811129434,586440.7485,598881.8622,656020.1393869569,595652.9514137497,580088.9905,574300.3218,598869.0208803663,598229.2689078336,599995.5354
14213,12,0,1,5,2019Q2,5579,589175.1793,613507.0303,587624.2898,601444.95,583507.4124,615229.0507,622498.3217,625178.2329,595231.526,598058.0432,620778.3795,607544.4414,602148.6248,584136.0413,593699.8695,584970.7956,574289.9614,593034.1584,579663.0321
2682,3,1,1,5,2014Q4,1064,600712.0876237805,622381.6116,629951.3975,608305.9193,624327.7779,614692.2531,599205.5301547465,599012.4128478102,598787.6178838597,603203.0080797208,599950.3165,591945.4198,600325.6286,605613.2014212997,600825.4175781267,618372.0682,599523.5234720145,598570.6524232466,594103.2371
22571,7,1,1,5,2019Q1,10480,623201.8729,583325.4483,608326.3643,616473.2703,607640.6908,594496.8495,615610.4971,605259.0631,620175.3821,612223.511,581625.7126,570609.865,573254.7898,600236.917,610749.3304,606273.3075,601670.5573,577891.9279,590046.1423
6491,11,0,0,2,2019Q2,2592,610483.223,577466.4607,594326.6492,592683.5766,618635.8936,597986.7884,592921.2431,616497.8928,589481.7878,588985.7499,592946.1805,625917.5811,620291.2128,587665.1303,569169.9848,571810.8212,609997.2857,583788.0221,583813.2398
6335,7,1,0,8,2017Q1,2537,627601.4693,596616.2557,592237.402,620040.2179,589633.6157,582216.9269,607704.2258,587277.3403,585060.6296,570187.5545,613646.8561,617452.444,583536.0218,581149.6118,585793.7148,618151.2652,577778.0556,580932.8811,610838.384
24568,6,1,1,5,2018Q2,12601,627869.941,616492.5059,599539.9346,575517.882,616961.0128,615005.25,619767.171,608680.937,602765.8508,592706.7654,579805.5722,589801.3289,651710.1993558488,607847.6408,574721.8188,602927.4429,585452.2414,580224.6397,613025.8735
22230,8,1,1,5,2019Q4,10168,625536.2961,598122.6479,612622.3324,577033.6269,601736.4922,571698.9267,598363.9120605198,596521.564,573595.8738,581902.0954,572856.3723,586185.3114,653400.5580165202,601788.3147,579832.9638,588025.1935,599165.0162826912,576894.8534,574494.5084
19491,5,1,0,80,2018Q4,8195,626533.2192,578953.6283,622531.4161,591447.3597,575009.2423,590979.5771,602352.8770018257,621941.918,613351.3787,585418.3452,599514.2398,602107.4475,650566.2257737655,591631.9264,602682.8316591457,608648.8854,612159.5045,607458.7198,623610.8828
8936,8,1,0,0,2015Q3,3574,618384.2353,609761.6983,635551.8914,631108.2438,578359.6992,594012.4625,627419.145,627524.2181,577843.6268,603753.369,599997.7478,622901.6335,608444.9509,601610.183,627403.3918,599875.7023,599929.7866362347,616261.1305,593034.776
16934,8,1,0,28,2018Q1,6817,593075.6704,626345.6974,573514.5425,612775.7945,610000.4495,594107.9378,625052.7443,607620.3642,613307.3875,601228.634,580595.787,597994.5569,599447.1398,625665.9456,581288.0782,571843.3945,586630.5491,569948.8297,602275.1178
3486,7,1,0,8,2015Q3,1377,600478.3516284615,615103.6532,621091.0925,588331.2747,591834.2784,570275.8023,599937.0499,583926.7501,619264.6846,621144.3076,603686.523,568801.4796,656058.9336062229,598049.7325,590336.0839,627221.8946,599527.2783630146,598263.4213952539,595037.004
8360,6,1,0,2,2020Q1,3342,609931.0481,606598.9743,613749.1124,615854.5816,579755.7084,598470.598,597161.0218,621659.2946,627151.4012,583697.8905,603996.059,593274.9242,590113.7104,623092.4645,624561.4404,627152.0391,610927.2593,574103.3944,589945.2531
15986,6,1,1,5,2019Q4,6359,591449.3974,587630.2105,583340.447,607823.3303,619937.4057,575601.1548,597907.078683918,602853.1644,582647.9952,628631.6384,597461.3702,571618.7311,623610.0378,607863.2879,623876.2846,589917.877,569554.5482,577723.9505,596894.624
27930,9,0,0,12,2018Q3,13906,609733.5296,624708.2268,605632.4987,596903.274,570718.6764,580308.5604,624530.6657,605677.0267,626536.3811,600518.3435,616295.2285,581619.651,570807.661,625440.832,591615.4423,570797.4916,626935.0524,593112.5097,623612.8278
6477,5,1,0,4,2016Q4,2588,602188.3429,608483.1778,599185.7813,575791.9682,570029.2332,571479.8635,577406.737,583322.2094,569321.2105,600724.1588,614658.0504,600976.9575,586008.9518,613887.9756,618853.4416,592237.5484,586933.8999,596288.9168,603580.8568
2966,8,1,0,4,2015Q3,1179,602886.9974919319,571195.2594,601703.4462,635577.8213,619533.6629,591754.7493,589976.2729,571210.3746,587241.9786,573760.0049,606766.5026,621269.6837,589456.2984,635031.2972,614055.3284,584851.6646,601546.0032385318,599896.5747885959,583820.7753
11070,3,1,1,5,2015Q1,4406,599097.5061914086,622275.1636,608233.3528,621241.4719,573725.6871,582452.8729,600403.3928812661,598531.7187486654,598763.5328020628,598589.2855489131,587938.4372,621652.3355,615628.5661,599131.784633835,600651.7024596508,579450.1207,598802.9293971943,598603.2017095388,577023.5719
6612,5,1,0,4,2016Q4,2643,607233.7356,576035.515,600156.1903,606378.3815,609620.7731,612876.4739,582723.2176,581529.9084,600381.0142,582154.2642,602175.1177,607113.3359,627079.5145,570158.6265,583717.4579,611031.8777,598998.8141088382,599283.42,600893.4285
18373,10,0,1,5,2020Q1,7561,616109.2569,601683.1776,608082.9173,597291.8852,572052.5172,618873.3778,574890.1314,584174.8942,603401.9425,611904.5395,596068.6208,618771.4696,575893.1041,573016.7113,621625.9841,604696.4951,580094.5848,619054.1572,624137.256
19332,7,1,0,12,2019Q2,8094,569634.0033,589386.7637,613965.7714,579726.0404,604751.8439,622923.8487,573147.0491,617277.0846,579707.5293,594775.5647,576593.4287,590984.3354,583066.4456,604068.8727,599751.0228,581567.8182,603124.5324,585997.6573,600413.4668
19324,6,1,0,12,2019Q4,8088,598659.3855151719,570164.3648,599226.5872,581726.604,570150.7306,574951.0628,614814.2479,621755.3769,600132.9385,598116.1297,569925.4065,597859.9264,614975.4146,608121.8409,602309.48,619342.6485,599101.7403987665,598417.9167386184,627673.727
17360,9,0,0,16,2019Q3,7039,576253.1614,579824.8532,579951.2859,598926.0541,606932.1217,612584.4382,615064.1882,612882.8693,625647.4866,577559.4301,597966.3176,599123.3924,606896.1262,588644.2452,594036.5647,622709.7838,582894.3352,597440.907,600015.3958
3149,6,1,0,19,2015Q4,1245,589878.4958,622100.2699,578368.8508,628511.9768,620393.407,571134.4918,609235.5034,620381.7815,615031.2666,583857.1676,577005.6348,622164.2894,625430.7908,579180.8158,617848.9099,583857.5777,599390.4344695188,597454.1098,621474.8634
23464,8,1,0,8,2019Q3,11433,614009.8346,595778.3916,599032.1831,613324.61,586789.7585,571071.9199,599243.8029,620225.2727,581123.7413,577922.2318,615840.1586,619951.4084,607246.1894,579639.9235,599715.431,595155.781,598812.5288605959,622634.5001,615915.5638
2215,7,1,1,5,2019Q3,876,622990.4022,588666.7688,609228.2096,582386.9821,582268.1144,618353.5891,589673.1087,619839.451,610628.8363,599452.26,621423.0044,579113.5194,588850.7342,626815.8674,599166.3139670125,608748.3323,609040.6569,612766.4548,594366.2307
21432,6,1,0,45,2019Q4,9498,613877.2208,578804.3116,614246.3906,575870.5025,572830.8305,615383.1413,595679.6240162565,584018.9453,621490.4765,591121.5079,619262.6072,625458.2176,584758.5601,618005.708,596427.6337,581673.5389,592262.2631,604035.8906,613674.6694
19579,6,1,1,5,2020Q1,8250,578091.0153,619169.4979,574504.1579,614785.8039,614813.2188,620316.3205,614103.1528,627829.9805,621573.8415,586750.6922,606691.527,568604.5586,653419.4065019718,588069.7071,594684.4523,570793.8032,610369.3581,597260.4892,573684.1192
11280,6,1,1,5,2020Q1,4475,605736.0034,586035.2237,623588.1413,568785.2104,586138.4127,607009.8795,598835.2996964961,604374.9979,616046.5772,590314.4469,594984.7022,625598.3397,656968.9378280834,620673.9754,600062.912162665,576504.0141,582907.2579,613119.0353,591338.7441
22543,6,1,0,26,2019Q3,10456,597767.7923430728,596352.5102,596576.858,629867.768,588300.4669,621425.8245,598164.0957077643,598672.630025668,598791.7178921745,598558.8970048861,628773.367,595414.2524,610920.8109,598726.5012331838,599561.022,602024.1342,599256.2430651503,598629.9108748249,578115.2307
12585,8,1,0,21,2020Q1,4972,624864.7214,577479.843,573191.5569,624038.0811,609284.6564,610921.0052,599188.5613,612008.8584,575735.377,574986.2593,608852.6686,605323.3873,575248.8497,598590.0402,602673.6994,590595.0494,615932.8576,623180.764,587142.5772
18516,7,1,0,2,2018Q4,7634,599008.306,588337.993,614958.9814,594339.6638,622815.5423,603588.3857,628993.8796,583905.808,585629.0214,572455.2086,582179.4502,598012.0085,601292.6486,611654.3345,606079.1462,609155.2962,574509.3357,616793.6016,622938.7076
19281,9,0,0,25,2017Q1,8066,583934.8079,614416.1284,573485.7869,602914.397,603375.502,585734.2614,591997.6578,587199.395,593100.9882,625654.0695,605598.8435,581199.748,572968.3279,579504.7792,625187.228,601163.5694,598496.8527085624,593140.3968,576018.6112
